K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
1,2,1,P,M,magic,0.019374999999999993,0.008068463153305583,5,"[0.03281249999999998, 0.012500000000000002, 0.02031249999999999, 0.009765624999999997, 0.02148437499999999]"
1,4,3,P,M,magic,0.013046875,0.005722889553691388,5,"[0.010156249999999999, 0.017578125000000007, 0.003515624999999999, 0.014453124999999995, 0.019531249999999997]"
1,5,4,CX,E,entanglement,0.006953125000000002,0.008892704886327471,5,"[-0.003125000000000002, 0.009179687500000006, -0.0037109374999999946, 0.01757812499999999, 0.014843750000000008]"
1,6,5,P,X,mix,-0.0046875000000000016,0.028521510522761587,5,"[0.04375, 0.007812500000000003, -0.02187500000000001, -0.0390625, -0.014062499999999997]"
1,7,6,CX,E,entanglement,0.01558593749999999,0.00945070346050692,5,"[0.024218749999999976, 0.013476562499999994, 0.026367187500000007, 0.014062499999999995, -0.00019531250000000386]"
1,8,7,H,E,entanglement,-0.014179687500000005,0.008743021770961115,5,"[-0.024609375000000003, -0.019140625000000012, -0.015039062500000009, -0.013671875000000003, 0.0015624999999999992]"
1,9,8,P,M,magic,0.012421875,0.009261684975950651,5,"[0.01210937499999999, 0.0234375, 0.005078125, 0.02187500000000001, -0.0003906249999999969]"
1,10,9,H,E,entanglement,0.005390624999999998,0.009470219564178543,5,"[-0.010156250000000006, 0.008203124999999999, 0.0027343750000000007, 0.019140624999999998, 0.00703125]"
1,11,10,P,M,magic,-0.0008593749999999979,0.005946744448120334,5,"[0.003906250000000009, 0.0066406249999999955, -0.010546875000000002, -0.0027343750000000033, -0.0015624999999999888]"
1,12,11,CX,E,entanglement,0.005,0.010277669636841928,5,"[0.009375000000000001, -0.013671874999999998, 0.017578125, 0.0064453125, 0.005273437499999999]"
1,13,12,P,X,mix,0.013437499999999996,0.015200483133769139,5,"[0.02499999999999999, 0.017187499999999994, -0.007812500000000005, 0.03281250000000001, -5.204170427930421e-18]"
1,14,13,CX,E,entanglement,0.0027343750000000024,0.013973787018300104,5,"[0.0255859375, -0.007421874999999993, -0.0039062499999999952, 0.01171875, -0.012304687500000003]"
1,15,14,RY,X,mix,-0.012812500000000004,0.04336211984555183,5,"[0.020312499999999987, -0.078125, -0.0015625000000000014, 0.040624999999999994, -0.04531249999999999]"
1,16,15,RY,X,mix,0.003124999999999996,0.030346308465775546,5,"[-0.05312500000000002, 0.0234375, -0.0031250000000000097, 0.01718750000000001, 0.03125]"
