r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
2,1,H,passive,,,0.995,0.5,3
2,2,P,M,local_P,0.08888888888888889,0.995,0.5,3
2,3,H,passive,,,0.995,0.5,3
2,4,P,M,local_P,0.0905,0.995,0.5,3
2,5,CX,E,,0.04733333333333333,0.995,0.5,3
2,6,P,X,cross_P,0.09641666666666665,0.995,0.5,3
2,7,CX,E,,0.0009166666666666611,0.995,0.5,3
2,8,H,passive,,,0.995,0.5,3
2,9,P,M,local_P,0.08022222222222221,0.995,0.5,3
2,10,H,passive,,,0.995,0.5,3
2,11,P,M,local_P,0.01905555555555556,0.995,0.5,3
2,12,CX,E,,0.03091666666666667,0.995,0.5,3
2,13,P,X,cross_P,0.040749999999999995,0.995,0.5,3
2,14,CX,E,,0.0,0.995,0.5,3
