r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
2,empty,,1-3-8-10,0,4,0.5,3
2,2,2,1-2-3-8-10,1,5,0.514,3
2,2-4,2-4,1-2-3-4-8-10,2,6,0.654,3
2,2-4-5-6-7-9-11-12-13,2-4-5-6-7-9-11-12-13,1-2-3-4-5-6-7-8-9-10-11-12-13,9,13,0.995,3
2,2-4-5-6-7-9-11-12-13-14,2-4-5-6-7-9-11-12-13-14,1-2-3-4-5-6-7-8-9-10-11-12-13-14,10,14,0.995,3
2,2-4-5-6-7-9-11-12-14,2-4-5-6-7-9-11-12-14,1-2-3-4-5-6-7-8-9-10-11-12-14,9,13,0.822,3
2,2-4-5-6-7-9-11-13,2-4-5-6-7-9-11-13,1-2-3-4-5-6-7-8-9-10-11-13,8,12,0.645,3
2,2-4-5-6-7-9-11-13-14,2-4-5-6-7-9-11-13-14,1-2-3-4-5-6-7-8-9-10-11-13-14,9,13,0.645,3
2,2-4-5-6-7-9-12-13-14,2-4-5-6-7-9-12-13-14,1-2-3-4-5-6-7-8-9-10-12-13-14,9,13,0.938,3
2,2-4-5-6-7-11-12-13-14,2-4-5-6-7-11-12-13-14,1-2-3-4-5-6-7-8-10-11-12-13-14,9,13,0.716,3
2,2-4-5-6-7-12-13-14,2-4-5-6-7-12-13-14,1-2-3-4-5-6-7-8-10-12-13-14,8,12,0.693,3
2,2-4-5-6-9-11-12-13,2-4-5-6-9-11-12-13,1-2-3-4-5-6-8-9-10-11-12-13,8,12,0.933,3
2,2-4-5-6-9-11-12-13-14,2-4-5-6-9-11-12-13-14,1-2-3-4-5-6-8-9-10-11-12-13-14,9,13,0.933,3
2,2-4-5-6-9-11-13,2-4-5-6-9-11-13,1-2-3-4-5-6-8-9-10-11-13,7,11,0.693,3
2,2-4-5-6-9-11-13-14,2-4-5-6-9-11-13-14,1-2-3-4-5-6-8-9-10-11-13-14,8,12,0.693,3
2,2-4-5-7-9-11,2-4-5-7-9-11,1-2-3-4-5-7-8-9-10-11,6,10,0.67,3
2,2-4-5-7-9-11-12,2-4-5-7-9-11-12,1-2-3-4-5-7-8-9-10-11-12,7,11,0.67,3
2,2-4-5-7-9-11-12-13-14,2-4-5-7-9-11-12-13-14,1-2-3-4-5-7-8-9-10-11-12-13-14,9,13,0.702,3
2,2-4-5-7-9-11-12-14,2-4-5-7-9-11-12-14,1-2-3-4-5-7-8-9-10-11-12-14,8,12,0.67,3
2,2-4-5-7-9-11-14,2-4-5-7-9-11-14,1-2-3-4-5-7-8-9-10-11-14,7,11,0.67,3
2,2-4-5-7-9-12-14,2-4-5-7-9-12-14,1-2-3-4-5-7-8-9-10-12-14,7,11,0.706,3
2,2-4-5-7-11-12-14,2-4-5-7-11-12-14,1-2-3-4-5-7-8-10-11-12-14,7,11,0.563,3
2,2-4-5-7-12-14,2-4-5-7-12-14,1-2-3-4-5-7-8-10-12-14,6,10,0.654,3
2,2-4-5-9-11,2-4-5-9-11,1-2-3-4-5-8-9-10-11,5,9,0.682,3
2,2-4-5-9-11-12,2-4-5-9-11-12,1-2-3-4-5-8-9-10-11-12,6,10,0.682,3
2,2-4-5-9-11-12-14,2-4-5-9-11-12-14,1-2-3-4-5-8-9-10-11-12-14,7,11,0.682,3
2,2-4-5-9-11-14,2-4-5-9-11-14,1-2-3-4-5-8-9-10-11-14,6,10,0.682,3
2,2-4-6-7-9-11-12-13,2-4-6-7-9-11-12-13,1-2-3-4-6-7-8-9-10-11-12-13,8,12,0.638,3
2,2-4-6-7-9-11-12-13-14,2-4-6-7-9-11-12-13-14,1-2-3-4-6-7-8-9-10-11-12-13-14,9,13,0.638,3
