r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
2,2-4-6-7-9-11-13,2-4-6-7-9-11-13,1-2-3-4-6-7-8-9-10-11-13,7,11,0.728,3
2,2-4-6-7-9-11-13-14,2-4-6-7-9-11-13-14,1-2-3-4-6-7-8-9-10-11-13-14,8,12,0.728,3
2,2-4-6-9-11,2-4-6-9-11,1-2-3-4-6-8-9-10-11,5,9,0.733,3
2,2-4-6-9-11-12-13,2-4-6-9-11-12-13,1-2-3-4-6-8-9-10-11-12-13,7,11,0.62,3
2,2-4-6-9-11-12-13-14,2-4-6-9-11-12-13-14,1-2-3-4-6-8-9-10-11-12-13-14,8,12,0.62,3
2,2-4-6-9-11-13,2-4-6-9-11-13,1-2-3-4-6-8-9-10-11-13,6,10,0.739,3
2,2-4-6-9-11-13-14,2-4-6-9-11-13-14,1-2-3-4-6-8-9-10-11-13-14,7,11,0.739,3
2,2-4-6-9-13,2-4-6-9-13,1-2-3-4-6-8-9-10-13,5,9,0.736,3
2,2-4-6-11-13,2-4-6-11-13,1-2-3-4-6-8-10-11-13,5,9,0.591,3
2,2-4-6-13,2-4-6-13,1-2-3-4-6-8-10-13,4,8,0.643,3
2,2-4-7-9-11,2-4-7-9-11,1-2-3-4-7-8-9-10-11,5,9,0.682,3
2,2-4-7-9-11-12,2-4-7-9-11-12,1-2-3-4-7-8-9-10-11-12,6,10,0.682,3
2,2-4-7-9-11-12-14,2-4-7-9-11-12-14,1-2-3-4-7-8-9-10-11-12-14,7,11,0.682,3
2,2-4-7-9-11-14,2-4-7-9-11-14,1-2-3-4-7-8-9-10-11-14,6,10,0.682,3
2,2-4-9,2-4-9,1-2-3-4-8-9-10,3,7,0.706,3
2,2-4-9-11,2-4-9-11,1-2-3-4-8-9-10-11,4,8,0.67,3
2,2-4-9-11-12,2-4-9-11-12,1-2-3-4-8-9-10-11-12,5,9,0.67,3
2,2-4-9-11-12-14,2-4-9-11-12-14,1-2-3-4-8-9-10-11-12-14,6,10,0.67,3
2,2-4-9-11-13,2-4-9-11-13,1-2-3-4-8-9-10-11-13,5,9,0.669,3
2,2-4-9-11-14,2-4-9-11-14,1-2-3-4-8-9-10-11-14,5,9,0.67,3
2,2-4-11,2-4-11,1-2-3-4-8-10-11,3,7,0.563,3
2,2-5-6-7-9-11-12-13-14,2-5-6-7-9-11-12-13-14,1-2-3-5-6-7-8-9-10-11-12-13-14,9,13,0.629,3
2,2-5-6-7-9-12-13-14,2-5-6-7-9-12-13-14,1-2-3-5-6-7-8-9-10-12-13-14,8,12,0.588,3
2,2-5-6-7-11-12-13-14,2-5-6-7-11-12-13-14,1-2-3-5-6-7-8-10-11-12-13-14,8,12,0.556,3
2,2-5-6-7-12-13-14,2-5-6-7-12-13-14,1-2-3-5-6-7-8-10-12-13-14,7,11,0.488,3
2,2-5-7-9-11-12-14,2-5-7-9-11-12-14,1-2-3-5-7-8-9-10-11-12-14,7,11,0.704,3
2,2-5-7-9-12-14,2-5-7-9-12-14,1-2-3-5-7-8-9-10-12-14,6,10,0.704,3
2,2-5-7-11-12-14,2-5-7-11-12-14,1-2-3-5-7-8-10-11-12-14,6,10,0.514,3
2,2-5-7-12-14,2-5-7-12-14,1-2-3-5-7-8-10-12-14,5,9,0.514,3
2,2-6-9-11-13,2-6-9-11-13,1-2-3-6-8-9-10-11-13,5,9,0.817,3
2,2-6-9-13,2-6-9-13,1-2-3-6-8-9-10-13,4,8,0.708,3
2,2-6-11-13,2-6-11-13,1-2-3-6-8-10-11-13,4,8,0.7,3
2,2-6-13,2-6-13,1-2-3-6-8-10-13,3,7,0.541,3
2,2-9,2-9,1-2-3-8-9-10,2,6,0.704,3
2,2-9-11,2-9-11,1-2-3-8-9-10-11,3,7,0.704,3
2,2-11,2-11,1-2-3-8-10-11,2,6,0.514,3
2,4,4,1-3-4-8-10,1,5,0.495,3
2,4-5-6-7-9-11-12-13-14,4-5-6-7-9-11-12-13-14,1-3-4-5-6-7-8-9-10-11-12-13-14,9,13,0.717,3
2,4-5-6-7-9-12-13-14,4-5-6-7-9-12-13-14,1-3-4-5-6-7-8-9-10-12-13-14,8,12,0.751,3
2,4-5-6-7-11-12-13-14,4-5-6-7-11-12-13-14,1-3-4-5-6-7-8-10-11-12-13-14,8,12,0.671,3
2,4-5-6-7-12-13-14,4-5-6-7-12-13-14,1-3-4-5-6-7-8-10-12-13-14,7,11,0.654,3
2,4-5-7-9-11-12-14,4-5-7-9-11-12-14,1-3-4-5-7-8-9-10-11-12-14,7,11,0.586,3
2,4-5-7-9-12-14,4-5-7-9-12-14,1-3-4-5-7-8-9-10-12-14,6,10,0.495,3
2,4-5-7-11-12-14,4-5-7-11-12-14,1-3-4-5-7-8-10-11-12-14,6,10,0.586,3
2,4-5-7-12-14,4-5-7-12-14,1-3-4-5-7-8-10-12-14,5,9,0.495,3
2,4-6-9-11-13,4-6-9-11-13,1-3-4-6-8-9-10-11-13,5,9,0.642,3
2,4-6-9-13,4-6-9-13,1-3-4-6-8-9-10-13,4,8,0.639,3
2,4-6-11-13,4-6-11-13,1-3-4-6-8-10-11-13,4,8,0.642,3
2,4-6-13,4-6-13,1-3-4-6-8-10-13,3,7,0.639,3
2,4-9,4-9,1-3-4-8-9-10,2,6,0.495,3
2,4-9-11,4-9-11,1-3-4-8-9-10-11,3,7,0.586,3
2,4-11,4-11,1-3-4-8-10-11,2,6,0.586,3
2,5,5,1-3-5-8-10,1,5,0.5,3
2,5-6-7-9-11-12-13-14,5-6-7-9-11-12-13-14,1-3-5-6-7-8-9-10-11-12-13-14,8,12,0.517,3
2,5-6-7-9-12-13-14,5-6-7-9-12-13-14,1-3-5-6-7-8-9-10-12-13-14,7,11,0.541,3
2,5-6-7-11-12-13-14,5-6-7-11-12-13-14,1-3-5-6-7-8-10-11-12-13-14,7,11,0.66,3
2,5-6-7-12-13,5-6-7-12-13,1-3-5-6-7-8-10-12-13,5,9,0.51,3
2,5-6-7-12-13-14,5-6-7-12-13-14,1-3-5-6-7-8-10-12-13-14,6,10,0.51,3
2,5-6-7-12-14,5-6-7-12-14,1-3-5-6-7-8-10-12-14,5,9,0.51,3
2,5-6-7-13,5-6-7-13,1-3-5-6-7-8-10-13,4,8,0.547,3
2,5-6-7-13-14,5-6-7-13-14,1-3-5-6-7-8-10-13-14,5,9,0.547,3
2,5-6-12-13,5-6-12-13,1-3-5-6-8-10-12-13,4,8,0.547,3
2,5-6-12-13-14,5-6-12-13-14,1-3-5-6-8-10-12-13-14,5,9,0.547,3
2,5-6-13,5-6-13,1-3-5-6-8-10-13,3,7,0.547,3
2,5-6-13-14,5-6-13-14,1-3-5-6-8-10-13-14,4,8,0.547,3
2,5-7,5-7,1-3-5-7-8-10,2,6,0.5,3
2,5-7-9-11-12-14,5-7-9-11-12-14,1-3-5-7-8-9-10-11-12-14,6,10,0.5,3
2,5-7-9-12-14,5-7-9-12-14,1-3-5-7-8-9-10-12-14,5,9,0.5,3
2,5-7-11-12-14,5-7-11-12-14,1-3-5-7-8-10-11-12-14,5,9,0.5,3
2,5-7-12,5-7-12,1-3-5-7-8-10-12,3,7,0.5,3
2,5-7-12-13-14,5-7-12-13-14,1-3-5-7-8-10-12-13-14,5,9,0.5,3
2,5-7-12-14,5-7-12-14,1-3-5-7-8-10-12-14,4,8,0.5,3
2,5-7-14,5-7-14,1-3-5-7-8-10-14,3,7,0.5,3
2,5-12,5-12,1-3-5-8-10-12,2,6,0.5,3
2,5-12-14,5-12-14,1-3-5-8-10-12-14,3,7,0.5,3
2,5-14,5-14,1-3-5-8-10-14,2,6,0.5,3
2,6,6,1-3-6-8-10,1,5,0.51,3
2,6-7-12-13,6-7-12-13,1-3-6-7-8-10-12-13,4,8,0.51,3
2,6-7-12-13-14,6-7-12-13-14,1-3-6-7-8-10-12-13-14,5,9,0.51,3
2,6-7-13,6-7-13,1-3-6-7-8-10-13,3,7,0.547,3
2,6-7-13-14,6-7-13-14,1-3-6-7-8-10-13-14,4,8,0.547,3
2,6-9-11-13,6-9-11-13,1-3-6-8-9-10-11-13,4,8,0.489,3
2,6-9-13,6-9-13,1-3-6-8-9-10-13,3,7,0.547,3
2,6-11-13,6-11-13,1-3-6-8-10-11-13,3,7,0.489,3
2,6-12-13,6-12-13,1-3-6-8-10-12-13,3,7,0.547,3
2,6-12-13-14,6-12-13-14,1-3-6-8-10-12-13-14,4,8,0.547,3
2,6-13,6-13,1-3-6-8-10-13,2,6,0.547,3
2,6-13-14,6-13-14,1-3-6-8-10-13-14,3,7,0.547,3
2,7,7,1-3-7-8-10,1,5,0.5,3
2,7-12,7-12,1-3-7-8-10-12,2,6,0.5,3
2,7-12-14,7-12-14,1-3-7-8-10-12-14,3,7,0.5,3
2,7-14,7-14,1-3-7-8-10-14,2,6,0.5,3
2,9,9,1-3-8-9-10,1,5,0.5,3
2,9-11,9-11,1-3-8-9-10-11,2,6,0.5,3
2,11,11,1-3-8-10-11,1,5,0.5,3
2,12,12,1-3-8-10-12,1,5,0.5,3
2,12-14,12-14,1-3-8-10-12-14,2,6,0.5,3
2,13,13,1-3-8-10-13,1,5,0.5,3
2,14,14,1-3-8-10-14,1,5,0.5,3
