gate_index,run,shapley_value
2,0,0.017940167682926826
4,0,0.013986280487804882
5,0,0.008050685975609748
6,0,-0.0037347560975609664
7,0,0.01272865853658536
9,0,0.0027439024390243935
11,0,0.006602515243902439
12,0,0.002839176829268298
13,0,0.003791920731707322
14,0,0.0020007621951219504
15,0,-0.007822027439024382
16,0,0.009937118902439028
17,0,0.0165967987804878
18,0,0.007459984756097568
19,0,-0.00040015243902438984
2,1,0.008536585365853668
4,1,0.004735137195121944
5,1,0.010480182926829264
6,1,0.0037157012195121884
7,1,0.023370807926829266
9,1,-0.0003906250000000052
11,1,-0.0017816310975609815
12,1,0.004020579268292677
13,1,0.00600228658536585
14,1,-0.00022865853658536977
15,1,-0.0005525914634146278
16,1,0.008355564024390244
17,1,0.010099085365853652
18,1,0.00686928353658536
19,1,-0.0003429878048780479
2,2,0.016110899390243905
4,2,0.007231326219512198
5,2,0.005106707317073173
6,2,-0.0005907012195121954
7,2,0.016958841463414635
9,2,0.004182545731707321
11,2,0.00016196646341463814
12,2,0.008784298780487807
13,2,0.008117378048780486
14,2,0.0035060975609755994
15,2,0.004401676829268294
16,2,0.009965701219512197
17,2,0.011823551829268295
18,2,0.007307545731707316
19,2,-0.0031059451219512114
2,3,0.0016673018292682877
4,3,0.005830792682926825
5,3,0.010203887195121957
6,3,0.001467225609756102
7,3,0.0220655487804878
9,3,0.004192073170731707
11,3,0.0007812499999999985
12,3,0.009546493902439033
13,3,0.005640243902439024
14,3,0.00018102134146341992
15,3,-0.00026676829268292316
16,3,0.005468750000000007
17,3,0.016596798780487802
18,3,-0.0002858231707316999
19,3,-0.0027057926829268243
2,4,0.017825838414634136
4,4,0.007479039634146348
5,4,0.004858993902439025
6,4,-0.004620807926829261
7,4,0.01886432926829269
9,4,0.004916158536585363
11,4,0.0006002286585365885
12,4,0.00966082317073171
13,4,0.005344893292682929
14,4,0.00633574695121952
15,4,-0.007469512195121949
16,4,0.007050304878048778
17,4,0.01315739329268294
18,4,0.010584984756097563
19,4,0.001305259146341463
