circuit,n_gates_compared,spearman_rho,spearman_p,pearson_r,pearson_p
QNN,15,0.5249999999999999,0.04448390580010634,0.022379033538911797,0.9369027028133394
QSVM r=1,5,0.8999999999999998,0.03738607346849874,0.9787904625092888,0.003696103623434558
QSVM r=2,10,0.9272727272727272,0.00011203450639397587,0.9597069475313673,1.0983566823146054e-05
QSVM r=3,15,0.8428571428571429,7.967195252724861e-05,0.8904426453799588,8.611014068184139e-06
