gate_index,mean,std
2,0.012416158536585365,0.006387791980160591
4,0.00785251524390244,0.003223471542141716
5,0.007740091463414633,0.002404591225323956
6,-0.0007526676829268265,0.003123326440628532
7,0.01879763719512195,0.0037897560925329804
9,0.0031288109756097563,0.0018957889599563297
11,0.0012728658536585364,0.0028164991974794075
12,0.006970274390243905,0.002930300755020227
13,0.005779344512195123,0.0013909747741210907
14,0.002358993902439024,0.0023957567151984276
15,-0.0023418445121951175,0.0046756353290258
16,0.00815548780487805,0.0017280683899572869
17,0.013654725609756096,0.0025905483387070227
18,0.006387195121951221,0.0035883406480032545
19,-0.001049923780487802,0.0016393885120522319
