data_index,r,full_accuracy,target_accuracy,absolute_difference,train_path,test_path,convention,svc_c
0,1,0.842,0.842,0.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
0,2,0.986,0.986,0.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
0,3,0.913,0.913,0.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
