partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
qubit_role,1,2,1,P,Q0,q0 local readout path,0.00953125,0.0024531747606418076,5,"[0.008203124999999999, 0.007421875000000008, 0.014062499999999999, 0.007812499999999999, 0.01015624999999999]"
qubit_role,1,4,3,P,Q1,q1 local hidden path,0.005820312499999999,0.005946487851954078,5,"[-4.336808689942018e-19, 0.0009765625000000043, 0.0070312500000000045, 0.004492187500000003, 0.016601562499999983]"
qubit_role,1,5,4,CX,2Q,two-qubit couplers,-0.0035156250000000023,0.01583453257519779,5,"[0.018749999999999992, -0.030468750000000006, -0.0058593749999999965, -0.000781249999999999, 0.0007812500000000007]"
qubit_role,1,6,5,P,Q1,q1 local hidden path,0.0026562499999999998,0.007629297265004986,5,"[0.00234375, 0.005859375000000009, 0.014453124999999999, -0.00878906250000001, -0.0005859374999999994]"
qubit_role,1,7,6,CX,2Q,two-qubit couplers,0.012265625,0.016860526200270263,5,"[0.008984375000000005, 0.041406250000000006, -0.0109375, 0.007812500000000003, 0.014062499999999997]"
qubit_role,1,8,7,H,Q0,q0 local readout path,0.023203125,0.012855301982547905,5,"[0.03593750000000002, 0.023437499999999983, 4.7704895589362195e-18, 0.022265624999999997, 0.03437500000000001]"
qubit_role,1,9,8,P,Q0,q0 local readout path,0.004999999999999997,0.00800695498457435,5,"[-0.0011718749999999937, 0.005859374999999994, 0.019921875, -0.0023437500000000116, 0.002734374999999996]"
qubit_role,1,10,9,H,Q1,q1 local hidden path,0.010078124999999997,0.005498801360864924,5,"[0.011718749999999998, 0.0017578124999999987, 0.011914062500000001, 0.0068359375000000035, 0.018164062499999984]"
qubit_role,1,11,10,P,Q1,q1 local hidden path,-0.005898437499999997,0.006925639143000627,5,"[-0.000976562499999998, 0.0027343749999999972, -0.012499999999999992, -0.0033203124999999986, -0.015429687499999997]"
qubit_role,1,12,11,CX,2Q,two-qubit couplers,0.0128125,0.005811785910436657,5,"[0.008203124999999999, 0.008203124999999995, 0.007812499999999993, 0.019531249999999997, 0.02031250000000001]"
qubit_role,1,13,12,P,Q1,q1 local hidden path,0.0165625,0.003435279822800098,5,"[0.0125, 0.017187500000000005, 0.01269531250000001, 0.020703125000000003, 0.019726562499999985]"
qubit_role,1,14,13,CX,2Q,two-qubit couplers,-0.00031250000000000277,0.009028086599952944,5,"[-0.008984375000000003, -0.010937499999999996, 0.014062499999999988, 0.0015624999999999997, 0.002734374999999997]"
