r,gate_index_1based,gate_name,group,n,mean,std,se,ci95_low,ci95_high,ci95_half_width
1,2,P,M,5,0.04673333333333331,0.035272864924754815,0.015774504746583953,0.0029362868427609337,0.09053037982390569,0.043797046490572374
1,4,P,M,5,0.12416666666666658,0.031502094286641386,0.014088164851707576,0.08505165032292347,0.16328168301040968,0.0391150163437431
1,5,CX,E,5,0.05459999999999996,0.028233549782720087,0.012626427312057306,0.01954341769330272,0.08965658230669721,0.03505658230669724
1,6,P,X,5,0.05349999999999998,0.055215109647028054,0.02469294771117183,-0.015058613805588109,0.12205861380558806,0.06855861380558809
1,7,CX,E,5,0.0,0.0,0.0,0.0,0.0,0.0
2,2,P,M,5,0.07144722222222215,0.027566747699061308,0.0123282243547374,0.03721858405673127,0.10567586038771302,0.03422863816549088
2,4,P,M,5,0.10855277777777776,0.039565605679400095,0.01769427677401807,0.05942558963854029,0.15767996591701522,0.04912718813923747
2,5,CX,E,5,0.05009999999999996,0.009805941131858847,0.004385350190839522,0.03792431592806536,0.06227568407193455,0.0121756840719346
2,6,P,X,5,0.1126333333333333,0.033618498958493406,0.015034649794539426,0.0708904535029213,0.15437621316374528,0.041742879830412
2,7,CX,E,5,0.01604999999999996,0.014606402388704105,0.006532181729571537,-0.002086243989331389,0.03418624398933131,0.01813624398933135
2,9,P,M,5,0.042636111111111055,0.02571816922712544,0.01150151492973914,0.010702786282077478,0.07456943594014463,0.03193332482903358
2,11,P,M,5,0.0240305555555555,0.018680381040077042,0.008354120370242097,0.0008357989453636507,0.04722531216574735,0.02319475661019185
2,12,CX,E,5,0.023416666666666638,0.0060584536897719185,0.002709422857772886,0.015894102835292093,0.030939230498041183,0.007522563831374547
2,13,P,X,5,0.04633333333333328,0.029694918663711527,0.013279971343677237,0.009462221899013655,0.0832044447676529,0.03687111143431963
2,14,CX,E,5,0.0,0.0,0.0,0.0,0.0,0.0
3,2,P,M,5,0.05271499999999997,0.031041107166222954,0.013882005144106077,0.014172374767316066,0.09125762523268388,0.038542625232683904
3,4,P,M,5,0.03793333333333328,0.028597986471898887,0.012789408354157058,0.0024242431100581427,0.0734424235566084,0.035509090223275135
3,5,CX,E,5,0.02277555555555548,0.012476804157127283,0.005579796447457714,0.007283557021011473,0.038267554090099486,0.015491998534544006
3,6,P,X,5,0.06619444444444442,0.028934799256685576,0.012940035610651867,0.0302671459121649,0.10212174297672394,0.035927298532279515
3,7,CX,E,5,0.02076722222222216,0.008660899612555567,0.0038732720559951674,0.010013294981254982,0.03152114946318933,0.010753927240967177
3,9,P,M,5,0.011056666666666621,0.008819903225162668,0.003944380633286672,0.00010531036434086732,0.022008022968992375,0.010951356302325754
3,11,P,M,5,0.022896111111111082,0.01739377733470038,0.007778733701177033,0.0012988840018409963,0.044493338220381165,0.021597227109270086
3,12,CX,E,5,0.0278394444444444,0.01736203579759694,0.0077645384542423075,0.006281629659043303,0.049397259229845496,0.021557814785401096
3,13,P,X,5,0.01787777777777776,0.018250936471829723,0.008162066920808286,-0.004783752972797234,0.040539308528352754,0.022661530750574994
3,14,CX,E,5,0.00272277777777774,0.004524092910923297,0.0020232358570698786,-0.0028946255142445866,0.008340181069800067,0.0056174032920223264
3,16,P,M,5,0.02007611111111108,0.00795864857820456,0.003559215845979489,0.010194143697198904,0.029958078525023253,0.009881967413912176
3,18,P,M,5,0.01372277777777774,0.01536670964885128,0.006872201473066677,-0.005357512364051301,0.032803067919606785,0.01908029014182904
3,19,CX,E,5,0.0049949999999999994,0.013284830240020805,0.005941156697246273,-0.011500295431282503,0.021490295431282502,0.016495295431282503
3,20,P,X,5,0.02162777777777774,0.01906153331894202,0.008524576851306307,-0.002040241894914075,0.04529579745046955,0.023668019672691814
3,21,CX,E,5,0.0,0.0,0.0,0.0,0.0,0.0
