r,group,n,mean,std,se,ci95_low,ci95_high,ci95_half_width
1,E,5,0.05459999999999996,0.028233549782720087,0.012626427312057306,0.01954341769330272,0.08965658230669721,0.03505658230669724
1,M,5,0.17089999999999994,0.04169742198265979,0.01864765400794427,0.11912581230622106,0.22267418769377884,0.05177418769377888
1,X,5,0.05349999999999998,0.055215109647028054,0.02469294771117183,-0.015058613805588109,0.12205861380558806,0.06855861380558809
2,E,5,0.0895666666666666,0.018832079604287538,0.008421962030574855,0.06618355141071537,0.11294978192261783,0.023383115255951225
2,M,5,0.2466666666666666,0.057108206259890756,0.02553956625403895,0.17575746295176542,0.31757587038156776,0.07090920371490118
2,X,5,0.15896666666666665,0.0630367397281582,0.028190887022424668,0.08069621638207168,0.2372371169512616,0.07827045028459496
3,E,5,0.07909999999999999,0.03024634964200915,0.013526578774151777,0.04154419657243392,0.11665580342756607,0.03755580342756607
3,M,5,0.15839999999999996,0.06579519992623573,0.029424507925650444,0.0767044689969741,0.24009553100302583,0.08169553100302586
3,X,5,0.10569999999999997,0.06337579716789894,0.028342518119132135,0.027008554299155788,0.18439144570084415,0.07869144570084419
