r,n,mean,std,se,ci95_low,ci95_high,ci95_half_width
1,5,0.779,0.08499705877264223,0.03801184026063457,0.6734622121688008,0.8845377878311993,0.10553778783119926
2,5,0.9952,0.005540758070878032,0.0024779023386727757,0.9883202401806338,1.0020797598193663,0.006879759819366193
3,5,0.8432000000000001,0.07008708868258119,0.031343898927861547,0.7561753852439245,0.9302246147560757,0.08702461475607555
