r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
2,1,H,passive,,,0.996,0.5,2
2,2,P,M,local_P,0.0428611111111111,0.996,0.5,2
2,3,H,passive,,,0.996,0.5,2
2,4,P,M,local_P,0.17419444444444443,0.996,0.5,2
2,5,CX,E,,0.047611111111111104,0.996,0.5,2
2,6,P,X,cross_P,0.07083333333333332,0.996,0.5,2
2,7,CX,E,,0.02386111111111111,0.996,0.5,2
2,8,H,passive,,,0.996,0.5,2
2,9,P,M,local_P,0.05491666666666665,0.996,0.5,2
2,10,H,passive,,,0.996,0.5,2
2,11,P,M,local_P,0.05536111111111112,0.996,0.5,2
2,12,CX,E,,0.02236111111111113,0.996,0.5,2
2,13,P,X,cross_P,0.004000000000000012,0.996,0.5,2
2,14,CX,E,,0.0,0.996,0.5,2
