benchmark_id,property,gate_idx,owen_value
I51,entanglement,0,6.784696261598178e-17
I51,entanglement,1,-1.2335811384723958e-17
I51,entanglement,2,0.1118152558809808
I51,entanglement,3,5.736152293896642e-16
I51,entanglement,4,0.11181525588098092
I51,entanglement,5,1.6653345369377348e-16
I51,entanglement,6,4.3175339846533866e-17
I55,magic,0,0.27891573008636544
I55,magic,1,0.28453371445137754
I55,magic,2,-0.006665987738653147
I55,magic,3,0.2752881372761605
I55,magic,4,0.023898038972426296
I55,magic,5,1.2335811384723961e-17
I55,magic,6,-2.4671622769447922e-17
I55,magic,7,-6.167905692361981e-17
I55,entanglement,0,6.476300976980079e-17
I55,entanglement,1,0.19163588017473768
I55,entanglement,2,1.264420666934206e-16
I55,entanglement,3,0.16530383442863197
I55,entanglement,4,-2.5905203907920316e-16
I55,entanglement,5,0.03247565853329095
I55,entanglement,6,0.16274667318459876
I55,entanglement,7,0.16171738288547982
