partition,K,group,group_name,gates_1_based,num_gates,mean_group_total,std_group_total,mean_group_mean_per_gate,std_group_mean_per_gate,num_runs,group_total_run_values,group_mean_per_gate_run_values
feature_interaction,1,L,local feature encoding,"[2, 4, 8, 9, 10, 11]",6,0.07859374999999999,0.02260149633804695,0.013098958333333332,0.0037669160563411587,5,"[0.08671874999999996, 0.044531249999999994, 0.079296875, 0.06875, 0.11367187499999999]","[0.014453124999999992, 0.007421874999999999, 0.013216145833333333, 0.011458333333333334, 0.0189453125]"
feature_interaction,1,XFE,cross-feature entangling motifs,"[5, 6, 7, 12, 13, 14]",6,0.018906249999999986,0.024041183740094837,0.0031510416666666644,0.004006863956682472,5,"[-0.024609375000000013, 0.041796875, 0.011328124999999963, 0.03007812499999999, 0.0359375]","[-0.004101562500000002, 0.006966145833333333, 0.0018880208333333273, 0.005013020833333332, 0.005989583333333333]"
feature_interaction,1,C,trainable classifier,"[15, 16, 17, 18, 19]",5,0.05500000000000001,0.04221237692460589,0.011000000000000001,0.008442475384921176,5,"[0.010156249999999999, 0.023437500000000014, 0.06171875000000002, 0.13124999999999998, 0.048437499999999994]","[0.0020312499999999996, 0.004687500000000002, 0.012343750000000004, 0.026249999999999996, 0.009687499999999998]"
feature_interaction,8,L,local feature encoding,"[2, 4, 8, 9, 10, 11]",6,0.06295898437499999,0.007086681995584612,0.010493164062499998,0.001181113665930769,5,"[0.07666015625, 0.06235351562499998, 0.05708007812499996, 0.060449218750000006, 0.05825195312499997]","[0.012776692708333334, 0.010392252604166664, 0.00951334635416666, 0.010074869791666668, 0.009708658854166661]"
feature_interaction,8,XFE,cross-feature entangling motifs,"[5, 6, 7, 12, 13, 14]",6,-0.005986328124999993,0.0052091714820398025,-0.0009977213541666652,0.0008681952470066338,5,"[-0.007226562499999995, -0.009570312499999978, -0.010302734374999966, -0.006933593750000012, 0.004101562499999991]","[-0.0012044270833333325, -0.0015950520833333296, -0.0017171223958333277, -0.0011555989583333353, 0.0006835937499999984]"
feature_interaction,8,C,trainable classifier,"[15, 16, 17, 18, 19]",5,0.05386718749999999,0.021657294178019582,0.0107734375,0.004331458835603916,5,"[0.09130859374999999, 0.052246093749999986, 0.02363281250000002, 0.048730468750000006, 0.05341796874999998]","[0.018261718749999996, 0.010449218749999998, 0.004726562500000004, 0.00974609375, 0.010683593749999996]"
feature_interaction,16,L,local feature encoding,"[2, 4, 8, 9, 10, 11]",6,0.0625732421875,0.010697472186390045,0.010428873697916664,0.0017829120310650075,5,"[0.04514160156250002, 0.06667480468749995, 0.07158203124999998, 0.07370605468750001, 0.055761718749999994]","[0.00752360026041667, 0.011112467447916658, 0.011930338541666663, 0.012284342447916667, 0.009293619791666666]"
feature_interaction,16,XFE,cross-feature entangling motifs,"[5, 6, 7, 12, 13, 14]",6,-0.002080078125000011,0.0067694415104680074,-0.00034667968750000193,0.0011282402517446678,5,"[-0.011694335937499984, -0.0001464843750000229, -0.0031250000000000184, -0.004565429687500023, 0.009130859374999993]","[-0.0019490559895833307, -2.4414062500003816e-05, -0.0005208333333333364, -0.0007609049479166706, 0.001521809895833332]"
feature_interaction,16,C,trainable classifier,"[15, 16, 17, 18, 19]",5,0.039287109375,0.01799056611269296,0.007857421874999998,0.0035981132225385913,5,"[0.035693359375, 0.01298828124999997, 0.057470703125000015, 0.029101562499999987, 0.061181640625]","[0.007138671875, 0.002597656249999994, 0.011494140625000003, 0.005820312499999997, 0.012236328125]"
feature_interaction,32,L,local feature encoding,"[2, 4, 8, 9, 10, 11]",6,0.06266601562499999,0.010142691732262893,0.0104443359375,0.001690448622043816,5,"[0.0436279296875, 0.06270751953124999, 0.06492919921874997, 0.06918945312500001, 0.07287597656249999]","[0.007271321614583333, 0.010451253255208333, 0.010821533203124995, 0.011531575520833335, 0.012145996093749998]"
feature_interaction,32,XFE,cross-feature entangling motifs,"[5, 6, 7, 12, 13, 14]",6,0.001284179687500004,0.011321644474960393,0.00021402994791666733,0.0018869407458267323,5,"[0.007446289062499991, -0.00987548828125, -0.012597656249999997, 0.003393554687500011, 0.018054199218750015]","[0.001241048177083332, -0.0016459147135416668, -0.0020996093749999995, 0.0005655924479166685, 0.0030090332031250024]"
feature_interaction,32,C,trainable classifier,"[15, 16, 17, 18, 19]",5,0.0479150390625,0.012221988882862213,0.009583007812500002,0.0024443977765724427,5,"[0.02707519531250002, 0.043652343749999996, 0.04912109374999999, 0.05793457031250003, 0.06179199218749999]","[0.005415039062500003, 0.00873046875, 0.009824218749999999, 0.011586914062500005, 0.012358398437499998]"
