r,subset_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
3,5-9,5-9,1-3-5-8-9-10-15-17,2,8,0.5,0
3,6-11,6-11,1-3-6-8-10-11-15-17,2,8,0.624,0
3,6-12,6-12,1-3-6-8-10-12-15-17,2,8,0.547,0
3,6-13,6-13,1-3-6-8-10-13-15-17,2,8,0.625,0
3,6-14,6-14,1-3-6-8-10-14-15-17,2,8,0.547,0
3,6-16,6-16,1-3-6-8-10-15-16-17,2,8,0.551,0
3,6-18,6-18,1-3-6-8-10-15-17-18,2,8,0.661,0
3,6-19,6-19,1-3-6-8-10-15-17-19,2,8,0.547,0
3,6-20,6-20,1-3-6-8-10-15-17-20,2,8,0.69,0
3,6-21,6-21,1-3-6-8-10-15-17-21,2,8,0.547,0
3,6-7,6-7,1-3-6-7-8-10-15-17,2,8,0.547,0
3,6-9,6-9,1-3-6-8-9-10-15-17,2,8,0.547,0
3,7-11,7-11,1-3-7-8-10-11-15-17,2,8,0.5,0
3,7-12,7-12,1-3-7-8-10-12-15-17,2,8,0.5,0
3,7-13,7-13,1-3-7-8-10-13-15-17,2,8,0.5,0
3,7-14,7-14,1-3-7-8-10-14-15-17,2,8,0.5,0
3,7-16,7-16,1-3-7-8-10-15-16-17,2,8,0.531,0
3,7-18,7-18,1-3-7-8-10-15-17-18,2,8,0.557,0
3,7-19,7-19,1-3-7-8-10-15-17-19,2,8,0.5,0
3,7-20,7-20,1-3-7-8-10-15-17-20,2,8,0.547,0
3,7-21,7-21,1-3-7-8-10-15-17-21,2,8,0.5,0
3,7-9,7-9,1-3-7-8-9-10-15-17,2,8,0.5,0
3,9-11,9-11,1-3-8-9-10-11-15-17,2,8,0.5,0
3,9-12,9-12,1-3-8-9-10-12-15-17,2,8,0.5,0
3,9-13,9-13,1-3-8-9-10-13-15-17,2,8,0.5,0
3,9-14,9-14,1-3-8-9-10-14-15-17,2,8,0.5,0
3,9-16,9-16,1-3-8-9-10-15-16-17,2,8,0.531,0
3,9-18,9-18,1-3-8-9-10-15-17-18,2,8,0.557,0
3,9-19,9-19,1-3-8-9-10-15-17-19,2,8,0.5,0
3,9-20,9-20,1-3-8-9-10-15-17-20,2,8,0.547,0
3,9-21,9-21,1-3-8-9-10-15-17-21,2,8,0.5,0
3,11-12-13,11-12-13,1-3-8-10-11-12-13-15-17,3,9,0.5,0
3,11-12-14,11-12-14,1-3-8-10-11-12-14-15-17,3,9,0.5,0
3,11-12-16,11-12-16,1-3-8-10-11-12-15-16-17,3,9,0.531,0
3,11-12-18,11-12-18,1-3-8-10-11-12-15-17-18,3,9,0.557,0
