r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
3,1,H,passive,,,0.809,0.5,4
3,2,P,M,local_P,0.008375000000000016,0.809,0.5,4
3,3,H,passive,,,0.809,0.5,4
3,4,P,M,local_P,0.03204166666666667,0.809,0.5,4
3,5,CX,E,,0.015527777777777781,0.809,0.5,4
3,6,P,X,cross_P,0.08836111111111111,0.809,0.5,4
3,7,CX,E,,0.02676388888888888,0.809,0.5,4
3,8,H,passive,,,0.809,0.5,4
3,9,P,M,local_P,0.00311388888888889,0.809,0.5,4
3,10,H,passive,,,0.809,0.5,4
3,11,P,M,local_P,0.015522222222222224,0.809,0.5,4
3,12,CX,E,,0.018180555555555554,0.809,0.5,4
3,13,P,X,cross_P,0.028194444444444446,0.809,0.5,4
3,14,CX,E,,0.005819444444444452,0.809,0.5,4
3,15,H,passive,,,0.809,0.5,4
3,16,P,M,local_P,0.00837500000000001,0.809,0.5,4
3,17,H,passive,,,0.809,0.5,4
3,18,P,M,local_P,0.002072222222222222,0.809,0.5,4
3,19,CX,E,,0.023208333333333324,0.809,0.5,4
3,20,P,X,cross_P,0.03344444444444443,0.809,0.5,4
3,21,CX,E,,0.0,0.809,0.5,4
