r,group,n_gates,gate_indices,group_owen_value,full_accuracy,empty_active_accuracy,data_index
3,E,6,5-7-12-14-19-21,0.0895,0.809,0.5,4
3,M,6,2-4-9-11-16-18,0.06950000000000003,0.809,0.5,4
3,X,3,6-13-20,0.15,0.809,0.5,4
