r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index,convention,svc_c,train_path,test_path,train_shape,test_shape,feature_columns,label_column,train_sha256,test_sha256
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21,15,21,0.809,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
3,empty,,1-3-8-10-15-17,0,6,0.5,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
3,2,2,1-2-3-8-10-15-17,1,7,0.581,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
3,2-4,2-4,1-2-3-4-8-10-15-17,2,8,0.559,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20,2-4-5-6-7-9-11-12-13-14-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,14,20,0.809,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
3,2-4-5-6-7-9-11-12-13-14-16-18-19-21,2-4-5-6-7-9-11-12-13-14-16-18-19-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21,14,20,0.783,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
3,2-4-5-6-7-9-11-12-13-14-16-18-20,2-4-5-6-7-9-11-12-13-14-16-18-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20,13,19,0.652,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
3,2-4-5-6-7-9-11-12-13-14-16-18-20-21,2-4-5-6-7-9-11-12-13-14-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21,14,20,0.652,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
3,2-4-5-6-7-9-11-12-13-14-16-19-20-21,2-4-5-6-7-9-11-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21,14,20,0.686,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
3,2-4-5-6-7-9-11-12-13-14-18-19-20-21,2-4-5-6-7-9-11-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21,14,20,0.653,4,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-4.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-4.csv,40x2,1000x2,x0|x1,y,c6ab35d78e77b1d190dea52a7042c0a85b752b94ea37a8db325523310ecb2dc4,df762f19922720510b6a4c1239f010d677250801b83f88fef2e96d64b8a0769e
