r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
2,1,H,passive,,,0.986,0.5,0
2,2,P,M,local_P,0.10488888888888889,0.986,0.5,0
2,3,H,passive,,,0.986,0.5,0
2,4,P,M,local_P,0.06883333333333333,0.986,0.5,0
2,5,CX,E,,0.050833333333333335,0.986,0.5,0
2,6,P,X,cross_P,0.12733333333333333,0.986,0.5,0
2,7,CX,E,,0.010833333333333334,0.986,0.5,0
2,8,H,passive,,,0.986,0.5,0
2,9,P,M,local_P,0.03888888888888888,0.986,0.5,0
2,10,H,passive,,,0.986,0.5,0
2,11,P,M,local_P,0.0055555555555555445,0.986,0.5,0
2,12,CX,E,,0.01800000000000001,0.986,0.5,0
2,13,P,X,cross_P,0.06083333333333333,0.986,0.5,0
2,14,CX,E,,0.0,0.986,0.5,0
