r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index,convention,svc_c
2,4-5-11-13-14,4-5-11-13-14,1-3-4-5-8-10-11-13-14,5,9,0.578,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-5-12-13-14,4-5-12-13-14,1-3-4-5-8-10-12-13-14,5,9,0.557,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-9-11,4-6-7-9-11,1-3-4-6-7-8-9-10-11,5,9,0.676,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-9-12,4-6-7-9-12,1-3-4-6-7-8-9-10-12,5,9,0.581,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-9-13,4-6-7-9-13,1-3-4-6-7-8-9-10-13,5,9,0.644,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-9-14,4-6-7-9-14,1-3-4-6-7-8-9-10-14,5,9,0.581,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-11-12,4-6-7-11-12,1-3-4-6-7-8-10-11-12,5,9,0.632,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-11-13,4-6-7-11-13,1-3-4-6-7-8-10-11-13,5,9,0.669,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-11-14,4-6-7-11-14,1-3-4-6-7-8-10-11-14,5,9,0.632,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-12-13,4-6-7-12-13,1-3-4-6-7-8-10-12-13,5,9,0.661,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-12-14,4-6-7-12-14,1-3-4-6-7-8-10-12-14,5,9,0.661,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-7-13-14,4-6-7-13-14,1-3-4-6-7-8-10-13-14,5,9,0.651,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-9-11-12,4-6-9-11-12,1-3-4-6-8-9-10-11-12,5,9,0.632,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-9-11-14,4-6-9-11-14,1-3-4-6-8-9-10-11-14,5,9,0.632,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-9-12-13,4-6-9-12-13,1-3-4-6-8-9-10-12-13,5,9,0.651,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-9-12-14,4-6-9-12-14,1-3-4-6-8-9-10-12-14,5,9,0.661,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-9-13-14,4-6-9-13-14,1-3-4-6-8-9-10-13-14,5,9,0.651,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-11-12-13,4-6-11-12-13,1-3-4-6-8-10-11-12-13,5,9,0.669,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-11-12-14,4-6-11-12-14,1-3-4-6-8-10-11-12-14,5,9,0.632,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-11-13-14,4-6-11-13-14,1-3-4-6-8-10-11-13-14,5,9,0.669,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-6-12-13-14,4-6-12-13-14,1-3-4-6-8-10-12-13-14,5,9,0.651,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-9-11-12,4-7-9-11-12,1-3-4-7-8-9-10-11-12,5,9,0.563,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-9-11-13,4-7-9-11-13,1-3-4-7-8-9-10-11-13,5,9,0.608,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-9-11-14,4-7-9-11-14,1-3-4-7-8-9-10-11-14,5,9,0.563,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-9-12-13,4-7-9-12-13,1-3-4-7-8-9-10-12-13,5,9,0.718,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-9-12-14,4-7-9-12-14,1-3-4-7-8-9-10-12-14,5,9,0.718,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-9-13-14,4-7-9-13-14,1-3-4-7-8-9-10-13-14,5,9,0.574,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-11-12-13,4-7-11-12-13,1-3-4-7-8-10-11-12-13,5,9,0.57,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-11-12-14,4-7-11-12-14,1-3-4-7-8-10-11-12-14,5,9,0.57,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-11-13-14,4-7-11-13-14,1-3-4-7-8-10-11-13-14,5,9,0.578,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-7-12-13-14,4-7-12-13-14,1-3-4-7-8-10-12-13-14,5,9,0.557,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-9-11-12-13,4-9-11-12-13,1-3-4-8-9-10-11-12-13,5,9,0.578,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-9-11-12-14,4-9-11-12-14,1-3-4-8-9-10-11-12-14,5,9,0.57,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-9-11-13-14,4-9-11-13-14,1-3-4-8-9-10-11-13-14,5,9,0.578,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-9-12-13-14,4-9-12-13-14,1-3-4-8-9-10-12-13-14,5,9,0.58,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4-11-12-13-14,4-11-12-13-14,1-3-4-8-10-11-12-13-14,5,9,0.578,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-7-9-11,5-6-7-9-11,1-3-5-6-7-8-9-10-11,5,9,0.552,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-7-9-12,5-6-7-9-12,1-3-5-6-7-8-9-10-12,5,9,0.529,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-7-9-13,5-6-7-9-13,1-3-5-6-7-8-9-10-13,5,9,0.518,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-7-9-14,5-6-7-9-14,1-3-5-6-7-8-9-10-14,5,9,0.529,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-7-11-12,5-6-7-11-12,1-3-5-6-7-8-10-11-12,5,9,0.624,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-7-11-13,5-6-7-11-13,1-3-5-6-7-8-10-11-13,5,9,0.532,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-7-11-14,5-6-7-11-14,1-3-5-6-7-8-10-11-14,5,9,0.624,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-9-11-12,5-6-9-11-12,1-3-5-6-8-9-10-11-12,5,9,0.624,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-9-11-13,5-6-9-11-13,1-3-5-6-8-9-10-11-13,5,9,0.532,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-9-11-14,5-6-9-11-14,1-3-5-6-8-9-10-11-14,5,9,0.624,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-9-12-13,5-6-9-12-13,1-3-5-6-8-9-10-12-13,5,9,0.625,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-9-12-14,5-6-9-12-14,1-3-5-6-8-9-10-12-14,5,9,0.547,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-9-13-14,5-6-9-13-14,1-3-5-6-8-9-10-13-14,5,9,0.625,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-11-12-13,5-6-11-12-13,1-3-5-6-8-10-11-12-13,5,9,0.532,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-11-12-14,5-6-11-12-14,1-3-5-6-8-10-11-12-14,5,9,0.624,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-6-11-13-14,5-6-11-13-14,1-3-5-6-8-10-11-13-14,5,9,0.532,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-7-9-11-12,5-7-9-11-12,1-3-5-7-8-9-10-11-12,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-7-9-11-13,5-7-9-11-13,1-3-5-7-8-9-10-11-13,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-7-9-11-14,5-7-9-11-14,1-3-5-7-8-9-10-11-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-7-9-12-13,5-7-9-12-13,1-3-5-7-8-9-10-12-13,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-7-9-13-14,5-7-9-13-14,1-3-5-7-8-9-10-13-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-7-11-12-13,5-7-11-12-13,1-3-5-7-8-10-11-12-13,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-7-11-13-14,5-7-11-13-14,1-3-5-7-8-10-11-13-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-9-11-12-13,5-9-11-12-13,1-3-5-8-9-10-11-12-13,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-9-11-12-14,5-9-11-12-14,1-3-5-8-9-10-11-12-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-9-11-13-14,5-9-11-13-14,1-3-5-8-9-10-11-13-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-9-12-13-14,5-9-12-13-14,1-3-5-8-9-10-12-13-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,5-11-12-13-14,5-11-12-13-14,1-3-5-8-10-11-12-13-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-7-9-11-12,6-7-9-11-12,1-3-6-7-8-9-10-11-12,5,9,0.552,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-7-9-11-13,6-7-9-11-13,1-3-6-7-8-9-10-11-13,5,9,0.652,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-7-9-11-14,6-7-9-11-14,1-3-6-7-8-9-10-11-14,5,9,0.552,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-7-9-12-13,6-7-9-12-13,1-3-6-7-8-9-10-12-13,5,9,0.529,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-7-9-12-14,6-7-9-12-14,1-3-6-7-8-9-10-12-14,5,9,0.529,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-7-9-13-14,6-7-9-13-14,1-3-6-7-8-9-10-13-14,5,9,0.518,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-7-11-12-13,6-7-11-12-13,1-3-6-7-8-10-11-12-13,5,9,0.624,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-7-11-12-14,6-7-11-12-14,1-3-6-7-8-10-11-12-14,5,9,0.624,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-7-11-13-14,6-7-11-13-14,1-3-6-7-8-10-11-13-14,5,9,0.532,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-9-11-12-13,6-9-11-12-13,1-3-6-8-9-10-11-12-13,5,9,0.532,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-9-11-12-14,6-9-11-12-14,1-3-6-8-9-10-11-12-14,5,9,0.624,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-9-11-13-14,6-9-11-13-14,1-3-6-8-9-10-11-13-14,5,9,0.532,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-9-12-13-14,6-9-12-13-14,1-3-6-8-9-10-12-13-14,5,9,0.625,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,6-11-12-13-14,6-11-12-13-14,1-3-6-8-10-11-12-13-14,5,9,0.532,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,7-9-11-12-13,7-9-11-12-13,1-3-7-8-9-10-11-12-13,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,7-9-11-12-14,7-9-11-12-14,1-3-7-8-9-10-11-12-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,7-9-11-13-14,7-9-11-13-14,1-3-7-8-9-10-11-13-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,7-9-12-13-14,7-9-12-13-14,1-3-7-8-9-10-12-13-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,7-11-12-13-14,7-11-12-13-14,1-3-7-8-10-11-12-13-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,9-11-12-13-14,9-11-12-13-14,1-3-8-9-10-11-12-13-14,5,9,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-9,2-4-5-6-7-9,1-2-3-4-5-6-7-8-9-10,6,10,0.693,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-11,2-4-5-6-7-11,1-2-3-4-5-6-7-8-10-11,6,10,0.699,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-12,2-4-5-6-7-12,1-2-3-4-5-6-7-8-10-12,6,10,0.842,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-13,2-4-5-6-7-13,1-2-3-4-5-6-7-8-10-13,6,10,0.683,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-14,2-4-5-6-7-14,1-2-3-4-5-6-7-8-10-14,6,10,0.842,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-9-11,2-4-5-6-9-11,1-2-3-4-5-6-8-9-10-11,6,10,0.715,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-9-12,2-4-5-6-9-12,1-2-3-4-5-6-8-9-10-12,6,10,0.855,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-9-13,2-4-5-6-9-13,1-2-3-4-5-6-8-9-10-13,6,10,0.691,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-9-14,2-4-5-6-9-14,1-2-3-4-5-6-8-9-10-14,6,10,0.855,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-11-12,2-4-5-6-11-12,1-2-3-4-5-6-8-10-11-12,6,10,0.699,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-11-13,2-4-5-6-11-13,1-2-3-4-5-6-8-10-11-13,6,10,0.734,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-11-14,2-4-5-6-11-14,1-2-3-4-5-6-8-10-11-14,6,10,0.699,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-12-13,2-4-5-6-12-13,1-2-3-4-5-6-8-10-12-13,6,10,0.696,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-12-14,2-4-5-6-12-14,1-2-3-4-5-6-8-10-12-14,6,10,0.842,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-13-14,2-4-5-6-13-14,1-2-3-4-5-6-8-10-13-14,6,10,0.683,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-9-12,2-4-5-7-9-12,1-2-3-4-5-7-8-9-10-12,6,10,0.659,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-9-13,2-4-5-7-9-13,1-2-3-4-5-7-8-9-10-13,6,10,0.659,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-9-14,2-4-5-7-9-14,1-2-3-4-5-7-8-9-10-14,6,10,0.659,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-11-12,2-4-5-7-11-12,1-2-3-4-5-7-8-10-11-12,6,10,0.618,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-11-13,2-4-5-7-11-13,1-2-3-4-5-7-8-10-11-13,6,10,0.585,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-11-14,2-4-5-7-11-14,1-2-3-4-5-7-8-10-11-14,6,10,0.618,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-12-13,2-4-5-7-12-13,1-2-3-4-5-7-8-10-12-13,6,10,0.728,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-13-14,2-4-5-7-13-14,1-2-3-4-5-7-8-10-13-14,6,10,0.571,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-9-11-13,2-4-5-9-11-13,1-2-3-4-5-8-9-10-11-13,6,10,0.67,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-9-12-13,2-4-5-9-12-13,1-2-3-4-5-8-9-10-12-13,6,10,0.765,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-9-12-14,2-4-5-9-12-14,1-2-3-4-5-8-9-10-12-14,6,10,0.785,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-9-13-14,2-4-5-9-13-14,1-2-3-4-5-8-9-10-13-14,6,10,0.655,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-11-12-13,2-4-5-11-12-13,1-2-3-4-5-8-10-11-12-13,6,10,0.594,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-11-12-14,2-4-5-11-12-14,1-2-3-4-5-8-10-11-12-14,6,10,0.618,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-11-13-14,2-4-5-11-13-14,1-2-3-4-5-8-10-11-13-14,6,10,0.585,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-12-13-14,2-4-5-12-13-14,1-2-3-4-5-8-10-12-13-14,6,10,0.633,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-9-11,2-4-6-7-9-11,1-2-3-4-6-7-8-9-10-11,6,10,0.717,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-9-12,2-4-6-7-9-12,1-2-3-4-6-7-8-9-10-12,6,10,0.716,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-9-13,2-4-6-7-9-13,1-2-3-4-6-7-8-9-10-13,6,10,0.704,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-9-14,2-4-6-7-9-14,1-2-3-4-6-7-8-9-10-14,6,10,0.716,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-11-12,2-4-6-7-11-12,1-2-3-4-6-7-8-10-11-12,6,10,0.633,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-11-13,2-4-6-7-11-13,1-2-3-4-6-7-8-10-11-13,6,10,0.6,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-11-14,2-4-6-7-11-14,1-2-3-4-6-7-8-10-11-14,6,10,0.633,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-12-13,2-4-6-7-12-13,1-2-3-4-6-7-8-10-12-13,6,10,0.72,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-12-14,2-4-6-7-12-14,1-2-3-4-6-7-8-10-12-14,6,10,0.636,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-13-14,2-4-6-7-13-14,1-2-3-4-6-7-8-10-13-14,6,10,0.684,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-11-12,2-4-6-9-11-12,1-2-3-4-6-8-9-10-11-12,6,10,0.717,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-11-14,2-4-6-9-11-14,1-2-3-4-6-8-9-10-11-14,6,10,0.717,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-12-13,2-4-6-9-12-13,1-2-3-4-6-8-9-10-12-13,6,10,0.679,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-12-14,2-4-6-9-12-14,1-2-3-4-6-8-9-10-12-14,6,10,0.716,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-13-14,2-4-6-9-13-14,1-2-3-4-6-8-9-10-13-14,6,10,0.691,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-11-12-13,2-4-6-11-12-13,1-2-3-4-6-8-10-11-12-13,6,10,0.653,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-11-12-14,2-4-6-11-12-14,1-2-3-4-6-8-10-11-12-14,6,10,0.633,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-11-13-14,2-4-6-11-13-14,1-2-3-4-6-8-10-11-13-14,6,10,0.6,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-12-13-14,2-4-6-12-13-14,1-2-3-4-6-8-10-12-13-14,6,10,0.674,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-9-11-13,2-4-7-9-11-13,1-2-3-4-7-8-9-10-11-13,6,10,0.67,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-9-12-13,2-4-7-9-12-13,1-2-3-4-7-8-9-10-12-13,6,10,0.765,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-9-12-14,2-4-7-9-12-14,1-2-3-4-7-8-9-10-12-14,6,10,0.785,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-9-13-14,2-4-7-9-13-14,1-2-3-4-7-8-9-10-13-14,6,10,0.655,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-11-12-13,2-4-7-11-12-13,1-2-3-4-7-8-10-11-12-13,6,10,0.594,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-11-12-14,2-4-7-11-12-14,1-2-3-4-7-8-10-11-12-14,6,10,0.618,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-11-13-14,2-4-7-11-13-14,1-2-3-4-7-8-10-11-13-14,6,10,0.585,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-12-13-14,2-4-7-12-13-14,1-2-3-4-7-8-10-12-13-14,6,10,0.633,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-9-11-12-13,2-4-9-11-12-13,1-2-3-4-8-9-10-11-12-13,6,10,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-9-11-13-14,2-4-9-11-13-14,1-2-3-4-8-9-10-11-13-14,6,10,0.649,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-9-12-13-14,2-4-9-12-13-14,1-2-3-4-8-9-10-12-13-14,6,10,0.631,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-11-12-13-14,2-4-11-12-13-14,1-2-3-4-8-10-11-12-13-14,6,10,0.587,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-9-11,2-5-6-7-9-11,1-2-3-5-6-7-8-9-10-11,6,10,0.703,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-9-12,2-5-6-7-9-12,1-2-3-5-6-7-8-9-10-12,6,10,0.626,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-9-13,2-5-6-7-9-13,1-2-3-5-6-7-8-9-10-13,6,10,0.627,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-9-14,2-5-6-7-9-14,1-2-3-5-6-7-8-9-10-14,6,10,0.626,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-11-12,2-5-6-7-11-12,1-2-3-5-6-7-8-10-11-12,6,10,0.658,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-11-13,2-5-6-7-11-13,1-2-3-5-6-7-8-10-11-13,6,10,0.653,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-11-14,2-5-6-7-11-14,1-2-3-5-6-7-8-10-11-14,6,10,0.658,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-12-13,2-5-6-7-12-13,1-2-3-5-6-7-8-10-12-13,6,10,0.569,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-12-14,2-5-6-7-12-14,1-2-3-5-6-7-8-10-12-14,6,10,0.551,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-13-14,2-5-6-7-13-14,1-2-3-5-6-7-8-10-13-14,6,10,0.603,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-9-11-12,2-5-6-9-11-12,1-2-3-5-6-8-9-10-11-12,6,10,0.701,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-9-11-13,2-5-6-9-11-13,1-2-3-5-6-8-9-10-11-13,6,10,0.657,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-9-11-14,2-5-6-9-11-14,1-2-3-5-6-8-9-10-11-14,6,10,0.701,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-9-12-13,2-5-6-9-12-13,1-2-3-5-6-8-9-10-12-13,6,10,0.759,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-9-12-14,2-5-6-9-12-14,1-2-3-5-6-8-9-10-12-14,6,10,0.603,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-9-13-14,2-5-6-9-13-14,1-2-3-5-6-8-9-10-13-14,6,10,0.717,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-11-12-13,2-5-6-11-12-13,1-2-3-5-6-8-10-11-12-13,6,10,0.579,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-11-12-14,2-5-6-11-12-14,1-2-3-5-6-8-10-11-12-14,6,10,0.658,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-11-13-14,2-5-6-11-13-14,1-2-3-5-6-8-10-11-13-14,6,10,0.653,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-12-13-14,2-5-6-12-13-14,1-2-3-5-6-8-10-12-13-14,6,10,0.645,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
