r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
3,1,H,passive,,,0.788,0.5,3
3,2,P,M,local_P,0.09464722222222222,0.788,0.5,3
3,3,H,passive,,,0.788,0.5,3
3,4,P,M,local_P,0.016508333333333316,0.788,0.5,3
3,5,CX,E,,0.006216666666666662,0.788,0.5,3
3,6,P,X,cross_P,0.054861111111111124,0.788,0.5,3
3,7,CX,E,,0.01052222222222221,0.788,0.5,3
3,8,H,passive,,,0.788,0.5,3
3,9,P,M,local_P,0.00789166666666667,0.788,0.5,3
3,10,H,passive,,,0.788,0.5,3
3,11,P,M,local_P,0.022613888888888888,0.788,0.5,3
3,12,CX,E,,0.01785555555555555,0.788,0.5,3
3,13,P,X,cross_P,0.020444444444444453,0.788,0.5,3
3,14,CX,E,,0.007077777777777782,0.788,0.5,3
3,15,H,passive,,,0.788,0.5,3
3,16,P,M,local_P,0.028263888888888897,0.788,0.5,3
3,17,H,passive,,,0.788,0.5,3
3,18,P,M,local_P,0.0054083333333333405,0.788,0.5,3
3,19,CX,E,,-0.00733888888888889,0.788,0.5,3
3,20,P,X,cross_P,0.003027777777777784,0.788,0.5,3
3,21,CX,E,,0.0,0.788,0.5,3
