r,group,n_gates,gate_indices,group_owen_value,full_accuracy,empty_active_accuracy,data_index
3,E,6,5-7-12-14-19-21,0.03433333333333331,0.788,0.5,3
3,M,6,2-4-9-11-16-18,0.17533333333333334,0.788,0.5,3
3,X,3,6-13-20,0.07833333333333337,0.788,0.5,3
