benchmark_id,family_role,value_function,random_index,random_seed,active_gates_json,locked_gates_json,original_group_sizes_json,random_partition_json,group_totals_json,dominance_abs,dominance_norm,top_group,bottom_group,top_drop,bottom_drop,faithfulness_gap,faithfulness_ratio,share_E,share_M,share_X,resource_alignment,expected_group_label,expected_group_gates_json,expected_drop,expected_drop_norm,expected_metric_skip_reason
M1,magic_axis,magic,0,1501552845,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[4],""M"":[0,3,7],""X"":[5,6]}","{""E"":0.0,""M"":0.02012217544793138,""X"":0.10067477722975704}",0.10067477722975704,0.8334214977884833,X,E,0.11653574328140603,0.0,0.11653574328140603,116535743281.40604,0.0,0.16657850220323836,0.8334214977884833,0.9999999999917216,M+X,"[0,3,5,6,7]",0.12079695267768842,0.9999999999917143,
M1,magic_axis,magic,1,488200390,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[0],""M"":[4,6,7],""X"":[3,5]}","{""E"":0.019197140629221766,""M"":0.015860966051649033,""X"":0.08573884599681762}",0.06987787994516859,0.5784738637491869,X,M,0.08666388081552667,0.031721932103297545,0.05494194871222913,2.7319862021829953,0.15892073602456544,0.13130270010898462,0.7097765638581716,0.8410792639671562,M+X,"[3,4,5,6,7]",0.11653574328140648,0.9647241978974641,
M1,magic_axis,magic,2,1693606510,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[0],""M"":[4,5,7],""X"":[3,6]}","{""E"":0.019197140629221766,""M"":0.08666388081552738,""X"":0.014935931232939272}",0.0717279495825881,0.5937893961065351,M,X,0.08666388081552756,0.029871862465878474,0.05679201834964909,2.9011877284725496,0.15892073602456544,0.7174343300368456,0.12364493393031048,0.8410792639671562,M+X,"[3,4,5,6,7]",0.11653574328140648,0.9647241978974641,
M1,magic_axis,magic,3,680233354,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[3],""M"":[0,6,7],""X"":[4,5]}","{""E"":0.0,""M"":0.03505810668087084,""X"":0.0857388459968176}",0.0857388459968176,0.7097765638581712,X,E,0.08666388081552667,0.0,0.08666388081552667,86663880815.52667,0.0,0.29022343613355034,0.7097765638581712,0.9999999999917215,M+X,"[0,4,5,6,7]",0.12079695267768842,0.9999999999917143,
M1,magic_axis,magic,4,438466540,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[7],""M"":[0,5,6],""X"":[3,4]}","{""E"":0.0009250348187090918,""M"":0.11987191785897931,""X"":0.0}",0.11987191785897931,0.992342233813053,M,X,0.12079695267768886,0.0,0.12079695267768886,120796952677.68886,0.007657766178668602,0.992342233813053,0.0,0.992342233813053,M+X,"[0,3,4,5,6]",0.12079695267768886,0.999999999991718,
M1,magic_axis,magic,5,1712329280,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[4],""M"":[3,6,7],""X"":[0,5]}","{""E"":0.0,""M"":0.015860966051648995,""X"":0.10493598662603942}",0.10493598662603942,0.8686972998827373,X,E,0.12079695267768797,0.0,0.12079695267768797,120796952677.68797,0.0,0.13130270010898432,0.8686972998827373,0.9999999999917215,M+X,"[0,3,5,6,7]",0.12079695267768842,0.9999999999917143,
M1,magic_axis,magic,6,1380152455,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[7],""M"":[0,3,4],""X"":[5,6]}","{""E"":0.0009250348187092767,""M"":0.01919714062922192,""X"":0.1006747772297572}",0.09974974241104793,0.8257637316098146,X,E,0.11653574328140603,0.0018500696374186276,0.1146856736439874,62.98992257449107,0.007657766178670134,0.15892073602456672,0.8334214977884847,0.9923422338130514,M+X,"[0,3,4,5,6]",0.12079695267768886,0.999999999991718,
M1,magic_axis,magic,7,1452245846,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[5],""M"":[0,3,7],""X"":[4,6]}","{""E"":0.08573884599681765,""M"":0.02012217544793145,""X"":0.01493593123293931}",0.07080291476387834,0.586131629927861,E,X,0.08666388081552667,0.029871862465878474,0.0567920183496482,2.90118772847252,0.7097765638581718,0.16657850220323894,0.1236449339303108,0.29022343613354973,M+X,"[0,3,4,6,7]",0.03598314149957993,0.2978812023122168,
M1,magic_axis,magic,8,2122694021,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[3],""M"":[4,5,7],""X"":[0,6]}","{""E"":0.0,""M"":0.08666388081552732,""X"":0.03413307186216108}",0.08666388081552732,0.7174343300368453,M,E,0.08666388081552756,0.0,0.08666388081552756,86663880815.52756,0.0,0.7174343300368453,0.2825656699548763,0.9999999999917216,M+X,"[0,4,5,6,7]",0.12079695267768842,0.9999999999917143,
M1,magic_axis,magic,9,839901363,"[0,3,4,5,6,7]","[1,2]","{""E"":1,""M"":3,""X"":2}","{""E"":[5],""M"":[3,4,6],""X"":[0,7]}","{""E"":0.08573884599681765,""M"":0.014935931232939311,""X"":0.02012217544793145}",0.07080291476387834,0.586131629927861,E,M,0.08666388081552667,0.029871862465878474,0.0567920183496482,2.90118772847252,0.7097765638581718,0.12364493393031081,0.16657850220323894,0.29022343613354973,M+X,"[0,3,4,6,7]",0.03598314149957993,0.2978812023122168,
