benchmark_id,family_role,value_function,active_gates_json,locked_gates_json,emx_partition_json,group_sizes_json,group_totals_json,dominance_abs,dominance_norm,top_group,bottom_group,top_drop,bottom_drop,faithfulness_gap,faithfulness_ratio,share_E,share_M,share_X,resource_alignment,expected_group_label,expected_group_gates_json,expected_drop,expected_drop_norm,expected_metric_skip_reason,skip_reason
E1,entanglement_axis,entanglement,"[0,1,2,5]","[3,4]","{""E"":[5],""M"":[0,1,2]}","{""E"":1,""M"":3}","{""E"":0.5371928122160605,""M"":-0.462807187783939}",0.07438562443212154,0.07438562443204719,E,M,0.07438562443212193,-0.9256143755678776,0.9999999999999996,0.08036351465090949,0.5371928122155235,0.46280718778347635,0.0,0.5371928122155235,E,[5],0.07438562443212193,0.9999999999865505,,
E2,entanglement_axis,magic,"[0,1,2,3,4,5]",[],"{""E"":[4,5],""M"":[0,1,2,3]}","{""E"":2,""M"":4}","{""E"":0.0,""M"":0.2674717381531799}",0.2674717381531799,0.9999999999962613,M,E,0.2674717381531799,0.0,0.2674717381531799,267471738153.17993,0.0,0.9999999999962613,0.0,0.9999999999962613,M+X,"[0,1,2,3]",0.2674717381531799,0.9999999999962613,,
E2,entanglement_axis,entanglement,"[0,1,2,3,4,5]",[],"{""E"":[4,5],""M"":[0,1,2,3]}","{""E"":2,""M"":4}","{""E"":0.15467954429223274,""M"":0.15467954429223274}",0.0,0.0,M,E,0.3093590885844655,0.3093590885844655,0.0,0.9999999999967676,0.4999999999983838,0.4999999999983838,0.0,0.4999999999983838,E,"[4,5]",0.3093590885844655,0.9999999999967676,,
E3,entanglement_axis,magic,"[0,1,2,4,5,6]",[3],"{""E"":[1,6],""M"":[2,4,5],""X"":[0]}","{""E"":2,""M"":3,""X"":1}","{""E"":0.0,""M"":-1.232595164407831e-32,""X"":0.19732733749896436}",0.19732733749896436,0.9999999999949323,X,M,0.19732733749896436,0.0,0.19732733749896436,197327337498.96436,0.0,6.246449073018347e-32,0.9999999999949323,0.9999999999949323,M+X,"[0,2,4,5]",0.19732733749896436,0.9999999999949323,,
E3,entanglement_axis,entanglement,"[0,1,2,4,5,6]",[3],"{""E"":[1,6],""M"":[2,4,5],""X"":[0]}","{""E"":2,""M"":3,""X"":1}","{""E"":0.25543720157737404,""M"":0.0,""X"":0.25543720157737404}",0.25543720157737404,0.4999999999990213,X,M,0.5108744031547481,0.0,0.5108744031547481,510874403154.7481,0.4999999999990213,0.0,0.4999999999990213,0.4999999999990213,E,"[1,6]",0.5108744031547481,0.9999999999980426,,
E4,entanglement_axis,magic,[6],"[0,1,2,3,4,5,7]","{""E"":[6]}","{""E"":1}","{""E"":0.0}",0.0,0.0,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M+X,[],,,magic expected group M+X is empty,fewer than two non-empty active E/M/X groups
E4,entanglement_axis,entanglement,[6],"[0,1,2,3,4,5,7]","{""E"":[6]}","{""E"":1}","{""E"":0.6666666666666659}",0.0,0.0,E,E,0.6666666666666659,0.6666666666666659,0.0,0.9999999999985001,0.9999999999985001,0.0,0.0,0.9999999999985001,E,[6],0.6666666666666659,0.9999999999984961,,fewer than two non-empty active E/M/X groups
E5,entanglement_axis,magic,"[0,1,2,3,4,5]",[],"{""E"":[3,5],""M"":[0,1],""X"":[2,4]}","{""E"":2,""M"":2,""X"":2}","{""E"":7.401486830834377e-17,""M"":0.09871939626643551,""X"":0.010154821103488827}",0.09871939626643544,0.9067288716308983,M,E,0.09871939626643611,4.440892098500626e-16,0.09871939626643567,98675575508.07722,6.798199803005878e-16,0.9067288716308989,0.09327112835991543,0.9999999999908143,M+X,"[0,1,2,4]",0.10887421736992442,0.999999999990815,,
E5,entanglement_axis,entanglement,"[0,1,2,3,4,5]",[],"{""E"":[3,5],""M"":[0,1],""X"":[2,4]}","{""E"":2,""M"":2,""X"":2}","{""E"":0.4488546533549692,""M"":0.44545210978211497,""X"":0.001372439933864563}",0.44748221342110467,0.499600986476359,E,X,0.8956792030709482,0.0007147762287387227,0.8949644268422094,1253.090360039466,0.5011332760831261,0.49733443430899044,0.0015322896067670746,0.5011332760831261,E,"[3,5]",0.8956792030709482,0.9999999999988828,,
I11,interior,magic,"[0,1,2,3,4]",[5],"{""E"":[3,4],""M"":[0,1],""X"":[2]}","{""E"":2,""M"":2,""X"":1}","{""E"":0.0,""M"":-2.2204460492503128e-16,""X"":0.1331726081301332}",0.1331726081301332,0.9999999999924892,X,M,0.13317260813013343,0.0,0.13317260813013343,133172608130.13344,0.0,1.6673444189542844e-15,0.9999999999924892,0.9999999999924909,M+X,"[0,1,2]",0.13317260813013299,0.9999999999924842,,
I11,interior,entanglement,"[0,1,2,3,4]",[5],"{""E"":[3,4],""M"":[0,1],""X"":[2]}","{""E"":2,""M"":2,""X"":1}","{""E"":0.04866761170007005,""M"":-1.1102230246251564e-16,""X"":0.04866761170007017}",0.04866761170007006,0.49999999999486194,X,M,0.09733522340014034,0.0,0.09733522340014034,97335223400.14034,0.49999999999486194,1.1406179446978591e-15,0.49999999999486316,0.49999999999486194,E,"[3,4]",0.09733522340014011,0.999999999989717,,
I15,interior,magic,"[0,1,2,3,4,5]",[],"{""E"":[3,4,5],""M"":[0,1],""X"":[2]}","{""E"":3,""M"":2,""X"":1}","{""E"":7.401486830834377e-17,""M"":0.013718487192753887,""X"":0.12773476622921992}",0.12773476622921984,0.9030175208997634,X,E,0.12773476622921986,0.0,0.12773476622921986,127734766229.21986,5.232461362131016e-16,0.09698247909316608,0.903017520899764,0.99999999999293,M+X,"[0,1,2]",0.1414532534219739,0.9999999999929304,,
I15,interior,entanglement,"[0,1,2,3,4,5]",[],"{""E"":[3,4,5],""M"":[0,1],""X"":[2]}","{""E"":3,""M"":2,""X"":1}","{""E"":0.4309793443671338,""M"":0.0006416216596772201,""X"":0.4263741140716717}",0.43033772270745657,0.5015619934062556,E,M,0.8579950800984828,-0.0026803653164304553,0.8606754454149133,320.10378380847123,0.502309808486504,0.0007478150802482753,0.4969423764320823,0.502309808486504,E,"[3,4,5]",0.8579950800984828,0.9999999999988345,,
I33,interior,magic,"[0,1,2,3,4,5,6]",[],"{""E"":[1,3],""M"":[4,5,6],""X"":[0,2]}","{""E"":2,""M"":3,""X"":2}","{""E"":0.174311268136678,""M"":0.24961243400989566,""X"":0.17106137345903996}",0.0785510605508557,0.1320219006682973,M,X,0.38579326820829785,0.30747936409429455,0.0783139041140033,1.2546964553001096,0.2929674630224295,0.41952721882209354,0.28750531815379626,0.7070325369758899,M+X,"[0,2,4,5,6]",0.5949850756056136,0.9999999999983193,,
I33,interior,entanglement,"[0,1,2,3,4,5,6]",[],"{""E"":[1,3],""M"":[4,5,6],""X"":[0,2]}","{""E"":2,""M"":3,""X"":2}","{""E"":0.24975700790416902,""M"":-1.480297366166875e-16,""X"":0.24975700790416902}",0.24975700790416888,0.4999999999989986,X,M,0.499514015808338,-4.440892098500626e-16,0.49951401580833843,499292285491.78973,0.49999999999899886,2.963475136465233e-16,0.49999999999899886,0.49999999999899886,E,"[1,3]",0.499514015808338,0.999999999997998,,
I51,interior,magic,"[0,1,2,3,4,5,6]",[],"{""E"":[4],""M"":[0,1,2,6],""X"":[3,5]}","{""E"":1,""M"":4,""X"":2}","{""E"":0.16415736138683337,""M"":0.5349180641278753,""X"":0.3776027350428272}",0.370760702741042,0.34435610967413577,M,E,0.6043422747188285,0.49247208416050015,0.11187019055832836,1.2271604709286261,0.1524665098637046,0.49682261953784035,0.35071087059752615,0.8475334901353665,M+X,"[0,1,2,3,5,6]",1.076678160557536,0.9999999999990712,,
I51,interior,entanglement,"[0,1,2,3,4,5,6]",[],"{""E"":[4],""M"":[0,1,2,6],""X"":[3,5]}","{""E"":1,""M"":4,""X"":2}","{""E"":0.11181525588098092,""M"":0.1118152558809809,""X"":7.401486830834377e-16}",0.11181525588098018,0.49999999999775924,E,X,0.22363051176196191,8.881784197001252e-16,0.22363051176196103,223432064224.2489,0.49999999999776257,0.49999999999776246,3.309694536977849e-15,0.49999999999776257,E,[4],0.22363051176196191,0.9999999999955254,,
I55,interior,magic,"[0,1,2,3,4,5,6,7]",[],"{""E"":[5,6,7],""M"":[0,1,2,3],""X"":[4]}","{""E"":3,""M"":4,""X"":1}","{""E"":-7.401486830834378e-17,""M"":0.8320715940752503,""X"":0.023898038972426296}",0.8320715940752502,0.9720807397240138,M,E,0.8559696330476765,0.0,0.8559696330476765,855969633047.6765,8.646903517444614e-17,0.9720807397240139,0.02791926027481781,0.9999999999988317,M+X,"[0,1,2,3,4]",0.8559696330476765,0.9999999999988317,,
I55,interior,entanglement,"[0,1,2,3,4,5,6,7]",[],"{""E"":[5,6,7],""M"":[0,1,2,3],""X"":[4]}","{""E"":3,""M"":4,""X"":1}","{""E"":0.35693971460336954,""M"":0.3569397146033698,""X"":-2.5905203907920316e-16}",0.35693971460336954,0.4999999999992992,M,X,0.7138794292067392,-4.440892098500626e-16,0.7138794292067396,713562543780.4932,0.4999999999992992,0.4999999999992996,3.628792601107697e-16,0.4999999999992992,E,"[5,6,7]",0.7138794292067392,0.9999999999985992,,
