r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
2,1,H,passive,,,1.0,0.5,4
2,2,P,M,local_P,0.043694444444444425,1.0,0.5,4
2,3,H,passive,,,1.0,0.5,4
2,4,P,M,local_P,0.10158333333333333,1.0,0.5,4
2,5,CX,E,,0.03894444444444443,1.0,0.5,4
2,6,P,X,cross_P,0.16033333333333336,1.0,0.5,4
2,7,CX,E,,0.007194444444444458,1.0,0.5,4
2,8,H,passive,,,1.0,0.5,4
2,9,P,M,local_P,0.018055555555555554,1.0,0.5,4
2,10,H,passive,,,1.0,0.5,4
2,11,P,M,local_P,0.017166666666666656,1.0,0.5,4
2,12,CX,E,,0.0283611111111111,1.0,0.5,4
2,13,P,X,cross_P,0.08466666666666667,1.0,0.5,4
2,14,CX,E,,0.0,1.0,0.5,4
