r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
2,empty,,1-3-8-10,0,4,0.5,4
2,2,2,1-2-3-8-10,1,5,0.581,4
2,2-4,2-4,1-2-3-4-8-10,2,6,0.559,4
2,2-4-5-6-7-9-11-12-13,2-4-5-6-7-9-11-12-13,1-2-3-4-5-6-7-8-9-10-11-12-13,9,13,1.0,4
2,2-4-5-6-7-9-11-12-13-14,2-4-5-6-7-9-11-12-13-14,1-2-3-4-5-6-7-8-9-10-11-12-13-14,10,14,1.0,4
2,2-4-5-6-7-9-11-12-14,2-4-5-6-7-9-11-12-14,1-2-3-4-5-6-7-8-9-10-11-12-14,9,13,0.707,4
2,2-4-5-6-7-9-11-13,2-4-5-6-7-9-11-13,1-2-3-4-5-6-7-8-9-10-11-13,8,12,0.748,4
2,2-4-5-6-7-9-11-13-14,2-4-5-6-7-9-11-13-14,1-2-3-4-5-6-7-8-9-10-11-13-14,9,13,0.748,4
2,2-4-5-6-7-9-12-13-14,2-4-5-6-7-9-12-13-14,1-2-3-4-5-6-7-8-9-10-12-13-14,9,13,0.808,4
2,2-4-5-6-7-11-12-13-14,2-4-5-6-7-11-12-13-14,1-2-3-4-5-6-7-8-10-11-12-13-14,9,13,0.957,4
2,2-4-5-6-7-12-13-14,2-4-5-6-7-12-13-14,1-2-3-4-5-6-7-8-10-12-13-14,8,12,0.701,4
2,2-4-5-6-9-11-12-13,2-4-5-6-9-11-12-13,1-2-3-4-5-6-8-9-10-11-12-13,8,12,0.817,4
2,2-4-5-6-9-11-12-13-14,2-4-5-6-9-11-12-13-14,1-2-3-4-5-6-8-9-10-11-12-13-14,9,13,0.817,4
2,2-4-5-6-9-11-13,2-4-5-6-9-11-13,1-2-3-4-5-6-8-9-10-11-13,7,11,0.613,4
2,2-4-5-6-9-11-13-14,2-4-5-6-9-11-13-14,1-2-3-4-5-6-8-9-10-11-13-14,8,12,0.613,4
2,2-4-5-7-9-11,2-4-5-7-9-11,1-2-3-4-5-7-8-9-10-11,6,10,0.567,4
2,2-4-5-7-9-11-12,2-4-5-7-9-11-12,1-2-3-4-5-7-8-9-10-11-12,7,11,0.567,4
2,2-4-5-7-9-11-12-13-14,2-4-5-7-9-11-12-13-14,1-2-3-4-5-7-8-9-10-11-12-13-14,9,13,0.629,4
