r,group,n_gates,gate_indices,group_owen_value,full_accuracy,empty_active_accuracy,data_index
1,E,2,5-7,0.020666666666666646,0.715,0.5,4
1,M,2,2-4,0.11566666666666667,0.715,0.5,4
1,X,1,6,0.07866666666666663,0.715,0.5,4
