r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
2,1,H,passive,,,0.999,0.5,1
2,2,P,M,local_P,0.07690277777777776,0.999,0.5,1
2,3,H,passive,,,0.999,0.5,1
2,4,P,M,local_P,0.10765277777777776,0.999,0.5,1
2,5,CX,E,,0.06577777777777777,0.999,0.5,1
2,6,P,X,cross_P,0.10825000000000001,0.999,0.5,1
2,7,CX,E,,0.03744444444444445,0.999,0.5,1
2,8,H,passive,,,0.999,0.5,1
2,9,P,M,local_P,0.021097222222222205,0.999,0.5,1
2,10,H,passive,,,0.999,0.5,1
2,11,P,M,local_P,0.023013888888888882,0.999,0.5,1
2,12,CX,E,,0.017444444444444446,0.999,0.5,1
2,13,P,X,cross_P,0.041416666666666664,0.999,0.5,1
2,14,CX,E,,0.0,0.999,0.5,1
