r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index,convention,svc_c,train_path,test_path,train_shape,test_shape,feature_columns,label_column,train_sha256,test_sha256
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21,15,21,0.925,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
3,empty,,1-3-8-10-15-17,0,6,0.5,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
3,2,2,1-2-3-8-10-15-17,1,7,0.451,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
3,2-4,2-4,1-2-3-4-8-10-15-17,2,8,0.605,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20,2-4-5-6-7-9-11-12-13-14-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,14,20,0.925,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
3,2-4-5-6-7-9-11-12-13-14-16-18-19-21,2-4-5-6-7-9-11-12-13-14-16-18-19-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21,14,20,0.914,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
3,2-4-5-6-7-9-11-12-13-14-16-18-20,2-4-5-6-7-9-11-12-13-14-16-18-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20,13,19,0.861,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
3,2-4-5-6-7-9-11-12-13-14-16-18-20-21,2-4-5-6-7-9-11-12-13-14-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21,14,20,0.861,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
3,2-4-5-6-7-9-11-12-13-14-16-19-20-21,2-4-5-6-7-9-11-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21,14,20,0.862,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
3,2-4-5-6-7-9-11-12-13-14-18-19-20-21,2-4-5-6-7-9-11-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21,14,20,0.872,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
