r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index,convention,svc_c,train_path,test_path,train_shape,test_shape,feature_columns,label_column,train_sha256,test_sha256
1,2-4-5-6-7,2-4-5-6-7,1-2-3-4-5-6-7,5,7,0.842,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,empty,,1-3,0,2,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,2,2,1-2-3,1,3,0.531,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,2-4,2-4,1-2-3-4,2,4,0.74,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,2-4-5,2-4-5,1-2-3-4-5,3,5,0.74,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,2-4-5-6,2-4-5-6,1-2-3-4-5-6,4,6,0.842,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,2-4-5-7,2-4-5-7,1-2-3-4-5-7,4,6,0.74,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,2-4-6,2-4-6,1-2-3-4-6,3,5,0.636,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,2-4-6-7,2-4-6-7,1-2-3-4-6-7,4,6,0.636,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,2-4-7,2-4-7,1-2-3-4-7,3,5,0.74,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
1,2-5-6-7,2-5-6-7,1-2-3-5-6-7,4,6,0.551,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,40x2,1000x2,x0|x1,y,ae8c560bde9a715c1d587a98d6fba6a4bdb383811d68892bc6925482065fc4c1,5e9d5339c3c7c314acdf982810f7049f2311a74e645cb1af035d06515031df4f
