r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index,convention,svc_c,train_path,test_path,train_shape,test_shape,feature_columns,label_column,train_sha256,test_sha256
1,2-4-5-6-7,2-4-5-6-7,1-2-3-4-5-6-7,5,7,0.767,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,empty,,1-3,0,2,0.5,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2,2,1-2-3,1,3,0.514,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-4,2-4,1-2-3-4,2,4,0.654,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-4-5,2-4-5,1-2-3-4-5,3,5,0.654,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-4-5-6,2-4-5-6,1-2-3-4-5-6,4,6,0.767,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-4-5-7,2-4-5-7,1-2-3-4-5-7,4,6,0.654,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-4-6,2-4-6,1-2-3-4-6,3,5,0.561,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-4-6-7,2-4-6-7,1-2-3-4-6-7,4,6,0.561,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-4-7,2-4-7,1-2-3-4-7,3,5,0.654,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-5-6-7,2-5-6-7,1-2-3-5-6-7,4,6,0.488,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-5-7,2-5-7,1-2-3-5-7,3,5,0.514,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,2-6,2-6,1-2-3-6,2,4,0.488,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,4,4,1-3-4,1,3,0.495,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,4-5-6-7,4-5-6-7,1-3-4-5-6-7,4,6,0.649,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,4-5-7,4-5-7,1-3-4-5-7,3,5,0.495,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,4-6,4-6,1-3-4-6,2,4,0.671,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,5,5,1-3-5,1,3,0.5,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,5-6,5-6,1-3-5-6,2,4,0.51,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,5-6-7,5-6-7,1-3-5-6-7,3,5,0.51,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,5-7,5-7,1-3-5-7,2,4,0.5,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,6,6,1-3-6,1,3,0.51,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,6-7,6-7,1-3-6-7,2,4,0.51,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
1,7,7,1-3-7,1,3,0.5,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
