partition_name,r,gate_index,group,mean_gate_owen,std_gate_owen,mean_abs_gate_owen,rank_by_mean_abs_gate_owen
feature_semantics,1,4,F2,0.13989999999999997,0.02219649621999934,0.13989999999999997,1
feature_semantics,1,2,F1,0.060899999999999996,0.0356564782955979,0.060899999999999996,2
feature_semantics,1,6,F12,0.050116666666666684,0.04473494780991207,0.050116666666666684,3
feature_semantics,1,5,F12,0.02808333333333333,0.016185899212998126,0.02808333333333333,4
feature_semantics,1,7,F12,0.0,0.0,0.0,5
feature_semantics,2,4,F2,0.13783333333333334,0.03702356606871419,0.13783333333333334,1
feature_semantics,2,2,F1,0.10264999999999998,0.021717593994015284,0.10264999999999998,2
feature_semantics,2,6,F12,0.08131333333333332,0.028525646809948513,0.08131333333333332,3
feature_semantics,2,9,F1,0.06561666666666666,0.02646709697383191,0.06561666666666666,4
feature_semantics,2,11,F2,0.04893333333333333,0.01657293643933453,0.04893333333333333,5
feature_semantics,2,5,F12,0.030843888888888882,0.008925695394287489,0.030843888888888882,6
feature_semantics,2,13,F12,0.01349111111111112,0.021151530925534137,0.02082888888888889,7
feature_semantics,2,12,F12,0.00793555555555556,0.007435253945533253,0.00947333333333333,8
feature_semantics,2,7,F12,0.00658277777777778,0.008040780588297118,0.00689611111111111,9
feature_semantics,2,14,F12,0.0,0.0,0.0,10
feature_semantics,3,2,F1,0.07323888888888888,0.04044596532549459,0.07323888888888888,1
feature_semantics,3,4,F2,0.07123333333333334,0.019744577314628274,0.07123333333333334,2
feature_semantics,3,11,F2,0.03945,0.018369403909762567,0.03945,3
feature_semantics,3,6,F12,0.02867961640211638,0.025313855733906522,0.031749378306878295,4
feature_semantics,3,9,F1,0.022972222222222227,0.01996830822411687,0.022972222222222227,5
feature_semantics,3,20,F12,0.016683664021164023,0.01879031132337674,0.020498769841269842,6
feature_semantics,3,18,F2,0.020150000000000008,0.015256911002340324,0.020150000000000008,7
feature_semantics,3,12,F12,0.017460965608465606,0.01559109933870204,0.018128108465608462,8
feature_semantics,3,7,F12,0.01181195767195767,0.013214553561921484,0.014005291005291002,9
feature_semantics,3,16,F1,0.012622222222222233,0.003883512156111611,0.012622222222222233,10
feature_semantics,3,5,F12,0.01238679894179894,0.006743464609667715,0.01238679894179894,11
feature_semantics,3,13,F12,0.0061627116402116384,0.009709304048511926,0.009858822751322759,12
feature_semantics,3,14,F12,0.00392723544973545,0.00621463074844404,0.006575489417989416,13
feature_semantics,3,19,F12,0.006418346560846558,0.0027285357877314988,0.006418346560846558,14
feature_semantics,3,21,F12,2.0370370370370388e-06,2.7766437594501453e-06,2.3015873015873035e-06,15
repetition_blocks,1,4,B1,0.12546666666666667,0.026201388852077626,0.12546666666666667,1
repetition_blocks,1,6,B1,0.06376666666666668,0.048662539779359845,0.06376666666666668,2
repetition_blocks,1,2,B1,0.04803333333333333,0.032037504064247366,0.049466666666666666,3
repetition_blocks,1,5,B1,0.04173333333333333,0.022347470649817278,0.04173333333333333,4
repetition_blocks,1,7,B1,0.0,0.0,0.0,5
repetition_blocks,2,4,B1,0.1349783333333333,0.021715197315346796,0.1349783333333333,1
repetition_blocks,2,6,B1,0.09891166666666668,0.024845896486587533,0.09891166666666668,2
repetition_blocks,2,2,B1,0.07502,0.025668762143897773,0.07502,3
repetition_blocks,2,5,B1,0.06081166666666667,0.016853199992879694,0.06081166666666667,4
repetition_blocks,2,12,B2,0.03884166666666666,0.014857386864601876,0.03884166666666666,5
repetition_blocks,2,13,B2,0.029575000000000008,0.01876666666666667,0.029575000000000008,6
repetition_blocks,2,11,B2,0.022974999999999995,0.027985705676688268,0.028358333333333336,7
repetition_blocks,2,9,B2,0.016708333333333332,0.029264407657691532,0.024158333333333327,8
repetition_blocks,2,7,B1,0.017378333333333336,0.009145250133265904,0.017378333333333336,9
repetition_blocks,2,14,B2,0.0,0.0,0.0,10
repetition_blocks,3,4,B1,0.04652777777777778,0.024165800686910956,0.04652777777777778,1
repetition_blocks,3,2,B1,0.03687222222222222,0.011095885957650488,0.03687222222222222,2
repetition_blocks,3,5,B1,0.03573055555555556,0.012891864359613257,0.03573055555555556,3
repetition_blocks,3,12,B2,0.03388388888888889,0.013080836562895552,0.03388388888888889,4
repetition_blocks,3,18,B3,0.029383333333333334,0.02654317121731322,0.03252777777777778,5
repetition_blocks,3,6,B1,0.031938888888888906,0.011862021692863971,0.031938888888888906,6
repetition_blocks,3,13,B2,0.028689444444444444,0.012450390989943615,0.028689444444444444,7
repetition_blocks,3,11,B2,0.026511666666666673,0.01806716621558922,0.02658166666666667,8
repetition_blocks,3,19,B3,0.021944444444444444,0.011876460274087359,0.021944444444444444,9
repetition_blocks,3,9,B2,0.018672777777777778,0.021236728637195435,0.021499444444444443,10
repetition_blocks,3,20,B3,0.0038055555555555703,0.02030437373061757,0.017838888888888894,11
repetition_blocks,3,7,B1,0.017197222222222218,0.01097066782238601,0.017197222222222218,12
repetition_blocks,3,16,B3,0.005033333333333336,0.00868568781614364,0.009788888888888885,13
repetition_blocks,3,14,B2,0.007008888888888891,0.005632981141741013,0.007008888888888891,14
repetition_blocks,3,21,B3,0.0,0.0,0.0,15
