r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
3,empty,,1-3-8-10-15-17,0,6,0.5,0
3,2,2,1-2-3-8-10-15-17,1,7,0.531,0
3,2-4,2-4,1-2-3-4-8-10-15-17,2,8,0.74,0
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20,2-4-5-6-7-9-11-12-13-14-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,14,20,0.913,0
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21,15,21,0.913,0
3,2-4-5-6-7-9-11-12-13-14-16-18-19-21,2-4-5-6-7-9-11-12-13-14-16-18-19-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21,14,20,0.827,0
3,2-4-5-6-7-9-11-12-13-14-16-18-20,2-4-5-6-7-9-11-12-13-14-16-18-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20,13,19,0.851,0
3,2-4-5-6-7-9-11-12-13-14-16-18-20-21,2-4-5-6-7-9-11-12-13-14-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21,14,20,0.851,0
3,2-4-5-6-7-9-11-12-13-14-16-19-20-21,2-4-5-6-7-9-11-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21,14,20,0.877,0
3,2-4-5-6-7-9-11-12-13-14-18-19-20-21,2-4-5-6-7-9-11-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21,14,20,0.88,0
3,2-4-5-6-7-9-11-12-13-14-19-20-21,2-4-5-6-7-9-11-12-13-14-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-19-20-21,13,19,0.903,0
3,2-4-5-6-7-9-11-12-13-16-18-19-20,2-4-5-6-7-9-11-12-13-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-19-20,13,19,0.908,0
3,2-4-5-6-7-9-11-12-13-16-18-19-20-21,2-4-5-6-7-9-11-12-13-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-19-20-21,14,20,0.908,0
3,2-4-5-6-7-9-11-12-13-16-18-20,2-4-5-6-7-9-11-12-13-16-18-20,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-20,12,18,0.835,0
3,2-4-5-6-7-9-11-12-13-16-18-20-21,2-4-5-6-7-9-11-12-13-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-20-21,13,19,0.835,0
3,2-4-5-6-7-9-11-12-14-16-18-19-20-21,2-4-5-6-7-9-11-12-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-20-21,14,20,0.672,0
3,2-4-5-6-7-9-11-12-14-16-18-19-21,2-4-5-6-7-9-11-12-14-16-18-19-21,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-21,13,19,0.618,0
3,2-4-5-6-7-9-11-13-14-16-18-19-20,2-4-5-6-7-9-11-13-14-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-19-20,13,19,0.546,0
3,2-4-5-6-7-9-11-13-14-16-18-19-20-21,2-4-5-6-7-9-11-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-19-20-21,14,20,0.546,0
3,2-4-5-6-7-9-11-13-14-16-18-20,2-4-5-6-7-9-11-13-14-16-18-20,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-20,12,18,0.546,0
3,2-4-5-6-7-9-11-13-14-16-18-20-21,2-4-5-6-7-9-11-13-14-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-20-21,13,19,0.546,0
3,2-4-5-6-7-9-11-13-16-18-19-20,2-4-5-6-7-9-11-13-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-13-15-16-17-18-19-20,12,18,0.624,0
3,2-4-5-6-7-9-11-13-16-18-19-20-21,2-4-5-6-7-9-11-13-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-13-15-16-17-18-19-20-21,13,19,0.624,0
3,2-4-5-6-7-9-11-13-16-18-20,2-4-5-6-7-9-11-13-16-18-20,1-2-3-4-5-6-7-8-9-10-11-13-15-16-17-18-20,11,17,0.556,0
3,2-4-5-6-7-9-11-13-16-18-20-21,2-4-5-6-7-9-11-13-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-13-15-16-17-18-20-21,12,18,0.556,0
3,2-4-5-6-7-9-12-13-14-16-18-19-20-21,2-4-5-6-7-9-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-12-13-14-15-16-17-18-19-20-21,14,20,0.859,0
3,2-4-5-6-7-9-12-13-14-16-19-20-21,2-4-5-6-7-9-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-9-10-12-13-14-15-16-17-19-20-21,13,19,0.9,0
3,2-4-5-6-7-9-12-13-14-18-19-20-21,2-4-5-6-7-9-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-9-10-12-13-14-15-17-18-19-20-21,13,19,0.886,0
3,2-4-5-6-7-9-12-13-14-19-20-21,2-4-5-6-7-9-12-13-14-19-20-21,1-2-3-4-5-6-7-8-9-10-12-13-14-15-17-19-20-21,12,18,0.862,0
3,2-4-5-6-7-11-12-13-14-16-18-19-20-21,2-4-5-6-7-11-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-10-11-12-13-14-15-16-17-18-19-20-21,14,20,0.696,0
3,2-4-5-6-7-11-12-13-14-16-19-20-21,2-4-5-6-7-11-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-10-11-12-13-14-15-16-17-19-20-21,13,19,0.691,0
3,2-4-5-6-7-11-12-13-14-18-19-20-21,2-4-5-6-7-11-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-10-11-12-13-14-15-17-18-19-20-21,13,19,0.67,0
3,2-4-5-6-7-11-12-13-14-19-20-21,2-4-5-6-7-11-12-13-14-19-20-21,1-2-3-4-5-6-7-8-10-11-12-13-14-15-17-19-20-21,12,18,0.74,0
3,2-4-5-6-7-12-13-14-16-18-19-20-21,2-4-5-6-7-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-10-12-13-14-15-16-17-18-19-20-21,13,19,0.631,0
3,2-4-5-6-7-12-13-14-16-19-20-21,2-4-5-6-7-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-10-12-13-14-15-16-17-19-20-21,12,18,0.632,0
3,2-4-5-6-7-12-13-14-18-19-20-21,2-4-5-6-7-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-10-12-13-14-15-17-18-19-20-21,12,18,0.675,0
3,2-4-5-6-7-12-13-14-19-20-21,2-4-5-6-7-12-13-14-19-20-21,1-2-3-4-5-6-7-8-10-12-13-14-15-17-19-20-21,11,17,0.71,0
3,2-4-5-6-9-11-12-13-14-16-18-19-20,2-4-5-6-9-11-12-13-14-16-18-19-20,1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-19-20,13,19,0.812,0
3,2-4-5-6-9-11-12-13-14-16-18-19-20-21,2-4-5-6-9-11-12-13-14-16-18-19-20-21,1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-19-20-21,14,20,0.812,0
3,2-4-5-6-9-11-12-13-14-16-18-20,2-4-5-6-9-11-12-13-14-16-18-20,1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-20,12,18,0.745,0
3,2-4-5-6-9-11-12-13-14-16-18-20-21,2-4-5-6-9-11-12-13-14-16-18-20-21,1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-20-21,13,19,0.745,0
