benchmark_id,family_role,property,group,score,abs_share
I21,interior,entanglement,E,0.13138392543395178,0.28026717983466615
I21,interior,entanglement,M,-0.17982422617016527,0.3835996570219655
I21,interior,entanglement,X,0.15757283627843538,0.3361331631433684
I22,interior,magic,E,0.0,0.0
I22,interior,magic,M,0.3204045433237751,0.7834078653697237
I22,interior,magic,X,0.08858361914835232,0.21659213463027624
I22,interior,entanglement,E,0.17779575072848125,0.5246543026901568
I22,interior,entanglement,M,0.16108596589298965,0.4753456973098426
I22,interior,entanglement,X,-2.072416312633626e-16,6.115456252095485e-16
I23,interior,magic,E,-1.1842378929335003e-16,3.009147978504581e-16
I23,interior,magic,M,0.05365701581027149,0.13634245418216281
I23,interior,magic,X,0.3398888986455593,0.8636575458178369
I23,interior,entanglement,E,0.6388888888888883,0.8949416342412458
I23,interior,entanglement,M,-0.052777777777777514,0.07392996108949391
I23,interior,entanglement,X,-0.02222222222222186,0.031128404669260243
I24,interior,magic,E,0.05411263793429553,0.1219383632074029
I24,interior,magic,M,0.329347689308608,0.7421578339831634
I24,interior,magic,X,0.06031008684947077,0.13590380280943368
I24,interior,entanglement,E,0.38559341871493985,0.5173253249215051
I24,interior,entanglement,M,0.3597662227707084,0.48267467507849404
I24,interior,entanglement,X,-6.957397620984315e-16,9.334282719033255e-16
I25,interior,magic,E,-0.1531658299251613,0.22691695671994666
I25,interior,magic,M,0.521820438792489,0.7730830432800534
I25,interior,magic,X,0.0,0.0
I25,interior,entanglement,E,0.9678723172730068,0.9578096325089325
I25,interior,entanglement,M,-0.04263361670649972,0.04219036749106744
I25,interior,entanglement,X,0.0,0.0
I31,interior,magic,E,-0.024164636473134986,0.036694925654530815
I31,interior,magic,M,0.24386210827457463,0.3703139479479093
I31,interior,magic,X,0.39050126810715,0.5929911263975599
I31,interior,entanglement,E,0.03687797488447127,0.381359230044066
I31,interior,entanglement,M,0.04601380311160963,0.47583384339880863
I31,interior,entanglement,X,0.013809631014551987,0.14280692655712532
I32,interior,magic,E,0.20759199732101447,0.35223868383853213
I32,interior,magic,M,0.324636433042815,0.5508377556780767
I32,interior,magic,X,0.05712193586731292,0.09692356048339128
I32,interior,entanglement,E,0.23009591543511404,0.5863961615324454
I32,interior,entanglement,M,0.1622939577076396,0.4136038384675541
I32,interior,entanglement,X,1.776356839400251e-16,4.527020091453791e-16
I33,interior,magic,E,0.10338400746599466,0.20188404470269672
I33,interior,magic,M,0.22014498512286068,0.42989008751896823
I33,interior,magic,X,0.18856698616093875,0.36822586777833505
I33,interior,entanglement,E,0.2499398643817547,0.5358963148517821
I33,interior,entanglement,M,-9.621932880084693e-17,2.0630395975220787e-16
I33,interior,entanglement,X,0.21645607351694657,0.46410368514821765
I34,interior,magic,E,-7.302800339756585e-17,1.0899553110147013e-16
I34,interior,magic,M,0.48473978330891726,0.7234823310194463
I34,interior,magic,X,0.18526936898907867,0.27651766898055374
I34,interior,entanglement,E,0.3743608778736489,0.5940302413935973
I34,interior,entanglement,M,0.21858969425756056,0.3468548572262853
I34,interior,entanglement,X,0.037254511359820934,0.05911490138011743
I35,interior,magic,E,-0.08675483033533177,0.10994811512420055
I35,interior,magic,M,0.6670340455758502,0.8453608375609575
I35,interior,magic,X,0.03526358067100698,0.04469104731484208
I35,interior,entanglement,E,0.5387097666349439,0.5626278078113531
I35,interior,entanglement,M,0.38842252680171757,0.4056680021305211
I35,interior,entanglement,X,0.03035640363031871,0.031704190058125734
I41,interior,magic,E,0.17185100503721462,0.1900738980062049
I41,interior,magic,M,0.5799054056128113,0.6413979417567386
I41,interior,magic,X,0.15237091477371328,0.16852816023705655
I41,interior,entanglement,E,0.40015919569956476,0.5830053769004526
I41,interior,entanglement,M,-0.2862138834425358,0.41699462309954677
I41,interior,entanglement,X,4.144832625267251e-16,6.038745911258473e-16
I42,interior,magic,E,0.042106152262189146,0.04850182374906895
I42,interior,magic,M,0.6110897190714388,0.7039105749847023
I42,interior,magic,X,0.2149395719856023,0.2475876012662287
I42,interior,entanglement,E,0.16111087363586946,0.5152250067367246
I42,interior,entanglement,M,0.151589153593584,0.4847749932632733
I42,interior,entanglement,X,6.439293542825909e-16,2.0592558305410255e-15
I43,interior,magic,E,-0.004152844817579418,0.004611143088912222
I43,interior,magic,M,0.46695248462895667,0.518484272090436
I43,interior,magic,X,0.4295053732586543,0.4769045848206518
I43,interior,entanglement,E,0.30346392770802566,0.5582214920174674
