benchmark_id,family_role,grid_row,grid_col,candidate_uid,sre,entanglement_q,sre_norm,ent_norm,sample_frac,repeats,runtime_magic_mean_s,runtime_entanglement_mean_s,runtime_total_mean_s,top_group_magic,top_margin_magic,top_group_entanglement,top_margin_entanglement,magic_E,entanglement_E,magic_abs_share_E,entanglement_abs_share_E,magic_M,entanglement_M,magic_abs_share_M,entanglement_abs_share_M,magic_X,entanglement_X,magic_abs_share_X,entanglement_abs_share_X
M1,magic_axis,0,1,pool_09710,0.1207969526776893,4.440892098500626e-16,0.0999257827413337,4.440892098500626e-16,0.7,5,0.11283624960015004,0.011759574599636835,0.12459582419978688,X,0.05005953696568748,M,7.512509133296894e-16,0.0,0.0,0.0,0.0,0.03561764004321615,7.512509133296894e-16,0.2936451936599354,0.4068136272545091,0.08567717700890363,-1.0954200509634876e-15,0.7063548063400646,0.5931863727454909
M2,magic_axis,0,2,pool_03954,0.3623214406160397,0.0,0.2997199246749891,0.0,0.7,5,2.3578559999998108,0.05467608319959254,2.4125320831994035,M,0.3616617643352467,M,5.94092676288306e-16,0.0,0.0,0.0,0.0,0.3616617643352467,5.94092676288306e-16,0.9999999999999984,0.5008319467554077,-5.329070518200752e-16,-5.921189464667502e-16,1.4734956923068312e-15,0.4991680532445924
M3,magic_axis,0,3,pool_05870,0.6034313602558856,1.1102230246251563e-15,0.4991711269830204,1.1102230246251563e-15,0.7,5,0.5841527916003543,0.012678100000266567,0.5968308916006209,M,0.6037782898064765,M,3.2196467714129544e-16,0.0,0.0,0.0,0.0,0.6037782898064765,3.2196467714129544e-16,1.0,1.0,0.0,0.0,0.0,0.0
M4,magic_axis,0,4,pool_03923,0.8484722826390092,6.661338147750939e-16,0.7018741375310199,6.661338147750939e-16,0.7,5,2.3401859250003327,0.05397054159948311,2.394156466599816,M,0.5044040285696003,M,6.483702463810913e-16,0.0,0.0,0.0,0.0,0.6764183389674073,6.483702463810913e-16,0.7972563755926817,1.0,0.17201431039780707,0.0,0.20274362440731838,0.0
M5,magic_axis,0,5,pool_04417,1.06251038956915,0.0,0.8789309663446966,0.0,0.7,5,1.032307399799538,0.024445641600323142,1.0567530413998611,M,0.5077645369313888,E,0.0,0.0,0.0,0.0,0.0,0.7893555828506102,0.0,0.7370634181437429,0.0,0.28159104591922146,0.0,0.2629365818562571,0.0
E1,entanglement_axis,1,0,pool_02392,0.0727328083967913,0.0743856244321223,0.0601661105592376,0.0743856244321223,0.7,5,0.04391864160024852,0.004277391800133046,0.04819603340038157,M,0.0864421287193354,E,0.7223156873296359,0.0,0.7223156873296359,0.0,0.6703858693396818,0.0864421287193354,-0.35514689111209646,1.0,0.32961413066031814,0.0,0.0,0.0,0.0
I11,interior,1,1,pool_02369,0.1331726081301338,0.097335223400141,0.1101631855119333,0.097335223400141,0.7,5,0.26896851679994144,0.005825733199890238,0.27479424999983165,X,0.1331726081301332,E,0.012978029786685275,0.0,0.04542310425339872,0.0,0.5833333333333319,-2.6645352591003756e-16,-1.1102230246251565e-16,2.000813302760165e-15,1.425772430886972e-15,0.1331726081301332,0.03244507446671344,0.9999999999999979,0.41666666666666663
I12,interior,1,2,pool_02969,0.1805391080145593,0.2087612115384147,0.1493457515597494,0.2087612115384147,0.7,5,0.13124434159981319,0.016819908399338602,0.1480642499991518,M,0.19192451077750955,E,0.246971272596142,-0.003941100956406226,0.3165583431089467,0.020121454304904873,0.8197905036340302,0.1892971101399052,0.06958707051280473,0.9664642428251574,0.1802094963659692,-0.00262740063760436,-2.664535259100376e-16,0.013414302869937651,6.900341594398474e-16
I13,interior,1,3,pool_04007,0.1347108040579976,0.5696273935923661,0.1114356135715337,0.5696273935923661,0.7,5,12.467376299799799,0.4510154335996049,12.918391733399403,X,0.1219646194553969,M,0.003797515957282116,0.0,0.17088821807770957,0.0,0.30821917808219224,0.006373092301299469,0.19367331382140363,0.047309437025969486,0.3493150684931502,0.12833771175669637,0.1898757978641215,0.9526905629740304,0.3424657534246576
I14,interior,1,4,pool_03771,0.1316681676041606,0.699447849700511,0.1089186806315265,0.699447849700511,0.7,5,6.467571033000058,0.18912228339977447,6.656693316399832,M,0.3814758789210537,E,0.06762917325017126,-0.08815657836176918,0.3451097642997188,0.18201847416623876,0.5287353185066638,0.29331930055928457,0.03011762957300303,0.6056216396264169,0.046142578716253525,-0.1028517629053202,0.27748059104954753,0.21235988620734433,0.4251221027770827
