benchmark_id,family_role,property,gate_idx,group,phi
E5,entanglement_axis,magic,4,X,2.960594732333751e-17
E5,entanglement_axis,magic,5,E,-8.881784197001253e-17
E5,entanglement_axis,entanglement,0,M,0.296494382338979
E5,entanglement_axis,entanglement,1,M,0.0
E5,entanglement_axis,entanglement,2,X,0.0017308089130802246
E5,entanglement_axis,entanglement,3,E,0.3766558069277612
E5,entanglement_axis,entanglement,4,X,-2.2204460492503136e-16
E5,entanglement_axis,entanglement,5,E,0.07169752220224498
I11,interior,magic,0,M,0.0
I11,interior,magic,1,M,-2.6645352591003756e-16
I11,interior,magic,2,X,0.1331726081301332
I11,interior,magic,3,E,0.0
I11,interior,magic,4,E,0.0
I11,interior,entanglement,0,M,0.0
I11,interior,entanglement,1,M,-1.1102230246251565e-16
I11,interior,entanglement,2,X,0.03244507446671344
I11,interior,entanglement,3,E,0.0
I11,interior,entanglement,4,E,0.04542310425339872
I12,interior,magic,0,M,0.18798340982110234
I12,interior,magic,1,X,-8.881784197001253e-17
I12,interior,magic,2,E,-0.00394110095640623
I12,interior,magic,3,X,-0.0026274006376042713
I12,interior,magic,4,M,0.0013137003188028462
I12,interior,magic,9,E,1.1102230246251566e-17
I12,interior,magic,10,E,-7.401486830834377e-18
I12,interior,entanglement,0,M,0.06958707051280436
I12,interior,entanglement,1,X,-3.256654205567126e-16
I12,interior,entanglement,2,E,0.08524416137818511
I12,interior,entanglement,3,X,5.921189464667501e-17
I12,interior,entanglement,4,M,3.7007434154171886e-16
I12,interior,entanglement,9,E,0.6415810910256499
I12,interior,entanglement,10,E,-0.4102669092948883
I13,interior,magic,2,M,0.0
I13,interior,magic,3,M,-4.815900764596234e-16
I13,interior,magic,4,E,0.0
I13,interior,magic,7,M,8.339008496073397e-17
I13,interior,magic,9,M,0.0
I13,interior,magic,10,M,-3.947459643111667e-18
I13,interior,magic,11,M,-9.523246389006898e-17
I13,interior,magic,12,M,0.006373092301299966
I13,interior,magic,13,X,0.12833771175669637
I13,interior,magic,14,E,0.0
I13,interior,entanglement,2,M,0.0
I13,interior,entanglement,3,M,-5.144033347429891e-16
I13,interior,entanglement,4,E,0.0
I13,interior,entanglement,7,M,1.413683984689366e-16
I13,interior,entanglement,9,M,0.0
I13,interior,entanglement,10,M,-4.786294817272897e-17
I13,interior,entanglement,11,M,-1.4778302038899306e-16
I13,interior,entanglement,12,M,0.19367331382140418
I13,interior,entanglement,13,X,0.1898757978641215
I13,interior,entanglement,14,E,0.17088821807770957
I14,interior,magic,0,M,0.01640481380251018
I14,interior,magic,1,M,0.11864508083480667
I14,interior,magic,2,X,-1.7763568394002506e-16
I14,interior,magic,3,E,0.0
I14,interior,magic,4,M,-0.012809110583373048
I14,interior,magic,5,M,-0.01738878739138537
I14,interior,magic,6,X,-0.12086237694465685
I14,interior,magic,7,E,5.250400278232711e-05
I14,interior,magic,8,E,-0.08823876705631353
I14,interior,magic,9,X,0.018010614039336837
I14,interior,magic,10,E,2.9684691762026272e-05
I14,interior,magic,11,M,0.041845273203895514
I14,interior,magic,12,M,0.1466220306928306
I14,interior,entanglement,0,M,0.005860692018841578
I14,interior,entanglement,1,M,0.031146320824707308
I14,interior,entanglement,2,X,1.7763568394002506e-16
I14,interior,entanglement,3,E,0.0
I14,interior,entanglement,4,M,-0.002309454868538547
I14,interior,entanglement,5,M,-0.004579928402007312
I14,interior,entanglement,6,X,0.2774805910495475
I14,interior,entanglement,7,E,0.007897944501223313
I14,interior,entanglement,8,E,0.3284226785581241
I14,interior,entanglement,9,X,-1.0362081563168127e-16
I14,interior,entanglement,10,E,0.008789141240371353
I14,interior,entanglement,11,M,-3.3553406966449176e-17
I14,interior,entanglement,12,M,3.552713678800501e-17
I15,interior,magic,0,M,3.2566542055671256e-16
I15,interior,magic,1,M,0.01371848719275352
I15,interior,magic,2,X,0.12773476622921995
I15,interior,magic,3,E,0.0
I15,interior,magic,4,E,-4.4408920985006264e-17
I15,interior,magic,5,E,1.9984014443252818e-16
I15,interior,entanglement,0,M,2.960594732333751e-16
I15,interior,entanglement,1,M,0.002266043935378592
I15,interior,entanglement,2,X,0.2845136499568334
I15,interior,entanglement,3,E,0.0
I15,interior,entanglement,4,E,0.3701187734908166
I15,interior,entanglement,5,E,0.05156364892538812
I21,interior,magic,0,X,-0.008045033836521739
I21,interior,magic,1,E,0.0
I21,interior,magic,2,E,0.04753552807706943
I21,interior,magic,3,M,3.3424207382029777e-16
I21,interior,magic,4,M,-0.002184496538240402
I21,interior,magic,5,M,0.009711528716014325
I21,interior,magic,6,M,0.12461426742223225
I21,interior,magic,7,E,0.0
I21,interior,magic,8,M,-0.02966053942085838
I21,interior,magic,9,M,0.0854900033936804
I21,interior,magic,10,M,0.1404632434310107
I21,interior,magic,11,M,0.00659459086493874
I21,interior,magic,12,X,-0.055241389963545315
I21,interior,magic,13,E,8.881784197001253e-17
I21,interior,entanglement,0,X,0.08489465786358666
I21,interior,entanglement,1,E,0.0
I21,interior,entanglement,2,E,0.21777135155270963
I21,interior,entanglement,3,M,1.0873382046189555e-16
I21,interior,entanglement,4,M,7.842689666989963e-17
I21,interior,entanglement,5,M,-1.7528535107452335e-16
I21,interior,entanglement,6,M,-0.025267714529156143
I21,interior,entanglement,7,E,0.0
I21,interior,entanglement,8,M,0.0008191981835871179
I21,interior,entanglement,9,M,1.0613608413686732e-16
I21,interior,entanglement,10,M,-0.15406089479053714
I21,interior,entanglement,11,M,-0.001314815034059242
I21,interior,entanglement,12,X,0.07267817841484871
I21,interior,entanglement,13,E,-0.08638742611875785
I22,interior,magic,0,M,0.06935528408694049
I22,interior,magic,1,E,0.0
I22,interior,magic,2,E,0.0
I22,interior,magic,3,X,-6.809367884367626e-16
I22,interior,magic,4,M,-0.022867470647327158
I22,interior,magic,5,M,-0.020536195217376114
I22,interior,magic,6,M,0.006885356253975008
I22,interior,magic,7,M,0.2875675688475629
I22,interior,magic,8,X,0.088583619148353
I22,interior,magic,9,E,0.0
I22,interior,entanglement,0,M,-0.017506498756401943
I22,interior,entanglement,1,E,0.0
I22,interior,entanglement,2,E,0.0
I22,interior,entanglement,3,X,-2.960594732333751e-16
I22,interior,entanglement,4,M,0.019617636847802856
I22,interior,entanglement,5,M,0.014831551327472903
I22,interior,entanglement,6,M,3.3553406966449176e-17
I22,interior,entanglement,7,M,0.1441432764741158
I22,interior,entanglement,8,X,8.881784197001252e-17
I22,interior,entanglement,9,E,0.17779575072848125
I23,interior,magic,1,M,0.0
I23,interior,magic,3,M,0.0
I23,interior,magic,5,E,0.0
I23,interior,magic,6,X,0.3398888986455593
I23,interior,magic,9,M,0.05365701581027149
I23,interior,magic,11,E,-1.1842378929335003e-16
I23,interior,entanglement,1,M,0.0
I23,interior,entanglement,3,M,0.0
I23,interior,entanglement,5,E,0.0
I23,interior,entanglement,6,X,-0.02222222222222186
I23,interior,entanglement,9,M,-0.052777777777777514
I23,interior,entanglement,11,E,0.6388888888888883
I24,interior,magic,0,M,0.12672533266575087
I24,interior,magic,1,M,0.016635219096648245
I24,interior,magic,2,E,0.0
I24,interior,magic,3,E,-1.3322676295501878e-16
I24,interior,magic,4,M,0.04001739705697259
I24,interior,magic,6,M,0.04912515907777164
I24,interior,magic,7,M,-0.04447256973684342
I24,interior,magic,10,E,0.05411263793429566
I24,interior,magic,11,X,0.06031008684947077
I24,interior,magic,14,M,0.14131715114830812
I24,interior,entanglement,0,M,0.032029863352178
