r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
3,empty,,1-3-8-10-15-17,0,6,0.5,1
3,2,2,1-2-3-8-10-15-17,1,7,0.535,1
3,2-4,2-4,1-2-3-4-8-10-15-17,2,8,0.593,1
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20,2-4-5-6-7-9-11-12-13-14-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,14,20,0.781,1
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21,15,21,0.781,1
3,2-4-5-6-7-9-11-12-13-14-16-18-19-21,2-4-5-6-7-9-11-12-13-14-16-18-19-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21,14,20,0.715,1
3,2-4-5-6-7-9-11-12-13-14-16-18-20,2-4-5-6-7-9-11-12-13-14-16-18-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20,13,19,0.765,1
3,2-4-5-6-7-9-11-12-13-14-16-18-20-21,2-4-5-6-7-9-11-12-13-14-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21,14,20,0.765,1
3,2-4-5-6-7-9-11-12-13-14-16-19-20-21,2-4-5-6-7-9-11-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21,14,20,0.813,1
3,2-4-5-6-7-9-11-12-13-14-18-19-20-21,2-4-5-6-7-9-11-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21,14,20,0.788,1
3,2-4-5-6-7-9-11-12-13-14-19-20-21,2-4-5-6-7-9-11-12-13-14-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-19-20-21,13,19,0.798,1
3,2-4-5-6-7-9-11-12-13-16-18-19-20,2-4-5-6-7-9-11-12-13-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-19-20,13,19,0.766,1
3,2-4-5-6-7-9-11-12-13-16-18-19-20-21,2-4-5-6-7-9-11-12-13-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-19-20-21,14,20,0.766,1
3,2-4-5-6-7-9-11-12-13-16-18-20,2-4-5-6-7-9-11-12-13-16-18-20,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-20,12,18,0.79,1
3,2-4-5-6-7-9-11-12-13-16-18-20-21,2-4-5-6-7-9-11-12-13-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-20-21,13,19,0.79,1
3,2-4-5-6-7-9-11-12-14-16-18-19-20-21,2-4-5-6-7-9-11-12-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-20-21,14,20,0.583,1
3,2-4-5-6-7-9-11-12-14-16-18-19-21,2-4-5-6-7-9-11-12-14-16-18-19-21,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-21,13,19,0.657,1
3,2-4-5-6-7-9-11-13-14-16-18-19-20,2-4-5-6-7-9-11-13-14-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-19-20,13,19,0.715,1
3,2-4-5-6-7-9-11-13-14-16-18-19-20-21,2-4-5-6-7-9-11-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-19-20-21,14,20,0.715,1
3,2-4-5-6-7-9-11-13-14-16-18-20,2-4-5-6-7-9-11-13-14-16-18-20,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-20,12,18,0.649,1
3,2-4-5-6-7-9-11-13-14-16-18-20-21,2-4-5-6-7-9-11-13-14-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-20-21,13,19,0.649,1
3,2-4-5-6-7-9-11-13-16-18-19-20,2-4-5-6-7-9-11-13-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-13-15-16-17-18-19-20,12,18,0.62,1
3,2-4-5-6-7-9-11-13-16-18-19-20-21,2-4-5-6-7-9-11-13-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-13-15-16-17-18-19-20-21,13,19,0.62,1
3,2-4-5-6-7-9-11-13-16-18-20,2-4-5-6-7-9-11-13-16-18-20,1-2-3-4-5-6-7-8-9-10-11-13-15-16-17-18-20,11,17,0.592,1
3,2-4-5-6-7-9-11-13-16-18-20-21,2-4-5-6-7-9-11-13-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-13-15-16-17-18-20-21,12,18,0.592,1
3,2-4-5-6-7-9-12-13-14-16-18-19-20-21,2-4-5-6-7-9-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-12-13-14-15-16-17-18-19-20-21,14,20,0.605,1
3,2-4-5-6-7-9-12-13-14-16-19-20-21,2-4-5-6-7-9-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-9-10-12-13-14-15-16-17-19-20-21,13,19,0.616,1
3,2-4-5-6-7-9-12-13-14-18-19-20-21,2-4-5-6-7-9-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-9-10-12-13-14-15-17-18-19-20-21,13,19,0.599,1
3,2-4-5-6-7-9-12-13-14-19-20-21,2-4-5-6-7-9-12-13-14-19-20-21,1-2-3-4-5-6-7-8-9-10-12-13-14-15-17-19-20-21,12,18,0.621,1
3,2-4-5-6-7-11-12-13-14-16-18-19-20-21,2-4-5-6-7-11-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-10-11-12-13-14-15-16-17-18-19-20-21,14,20,0.783,1
3,2-4-5-6-7-11-12-13-14-16-19-20-21,2-4-5-6-7-11-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-10-11-12-13-14-15-16-17-19-20-21,13,19,0.848,1
3,2-4-5-6-7-11-12-13-14-18-19-20-21,2-4-5-6-7-11-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-10-11-12-13-14-15-17-18-19-20-21,13,19,0.751,1
3,2-4-5-6-7-11-12-13-14-19-20-21,2-4-5-6-7-11-12-13-14-19-20-21,1-2-3-4-5-6-7-8-10-11-12-13-14-15-17-19-20-21,12,18,0.77,1
3,2-4-5-6-7-12-13-14-16-18-19-20-21,2-4-5-6-7-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-10-12-13-14-15-16-17-18-19-20-21,13,19,0.58,1
3,2-4-5-6-7-12-13-14-16-19-20-21,2-4-5-6-7-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-10-12-13-14-15-16-17-19-20-21,12,18,0.672,1
3,2-4-5-6-7-12-13-14-18-19-20-21,2-4-5-6-7-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-10-12-13-14-15-17-18-19-20-21,12,18,0.544,1
3,2-4-5-6-7-12-13-14-19-20-21,2-4-5-6-7-12-13-14-19-20-21,1-2-3-4-5-6-7-8-10-12-13-14-15-17-19-20-21,11,17,0.6,1
3,2-4-5-6-9-11-12-13-14-16-18-19-20,2-4-5-6-9-11-12-13-14-16-18-19-20,1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-19-20,13,19,0.767,1
3,2-4-5-6-9-11-12-13-14-16-18-19-20-21,2-4-5-6-9-11-12-13-14-16-18-19-20-21,1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-19-20-21,14,20,0.767,1
3,2-4-5-6-9-11-12-13-14-16-18-20,2-4-5-6-9-11-12-13-14-16-18-20,1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-20,12,18,0.637,1
3,2-4-5-6-9-11-12-13-14-16-18-20-21,2-4-5-6-9-11-12-13-14-16-18-20-21,1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-20-21,13,19,0.637,1
3,2-4-5-6-9-11-12-13-16-18-19-20,2-4-5-6-9-11-12-13-16-18-19-20,1-2-3-4-5-6-8-9-10-11-12-13-15-16-17-18-19-20,12,18,0.637,1
3,2-4-5-6-9-11-12-13-16-18-19-20-21,2-4-5-6-9-11-12-13-16-18-19-20-21,1-2-3-4-5-6-8-9-10-11-12-13-15-16-17-18-19-20-21,13,19,0.637,1
3,2-4-5-6-9-11-12-13-16-18-20,2-4-5-6-9-11-12-13-16-18-20,1-2-3-4-5-6-8-9-10-11-12-13-15-16-17-18-20,11,17,0.665,1
3,2-4-5-6-9-11-12-13-16-18-20-21,2-4-5-6-9-11-12-13-16-18-20-21,1-2-3-4-5-6-8-9-10-11-12-13-15-16-17-18-20-21,12,18,0.665,1
3,2-4-5-6-9-11-13-14-16-18-19-20,2-4-5-6-9-11-13-14-16-18-19-20,1-2-3-4-5-6-8-9-10-11-13-14-15-16-17-18-19-20,12,18,0.663,1
3,2-4-5-6-9-11-13-14-16-18-19-20-21,2-4-5-6-9-11-13-14-16-18-19-20-21,1-2-3-4-5-6-8-9-10-11-13-14-15-16-17-18-19-20-21,13,19,0.663,1
3,2-4-5-6-9-11-13-14-16-18-20,2-4-5-6-9-11-13-14-16-18-20,1-2-3-4-5-6-8-9-10-11-13-14-15-16-17-18-20,11,17,0.559,1
