r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
3,1,H,passive,,,0.781,0.5,1
3,2,P,M,local_P,0.04547777777777777,0.781,0.5,1
3,3,H,passive,,,0.781,0.5,1
3,4,P,M,local_P,0.05840555555555555,0.781,0.5,1
3,5,CX,E,,0.023488888888888886,0.781,0.5,1
3,6,P,X,cross_P,0.024166666666666652,0.781,0.5,1
3,7,CX,E,,0.013266666666666671,0.781,0.5,1
3,8,H,passive,,,0.781,0.5,1
3,9,P,M,local_P,0.004661111111111108,0.781,0.5,1
3,10,H,passive,,,0.781,0.5,1
3,11,P,M,local_P,0.0482888888888889,0.781,0.5,1
3,12,CX,E,,0.011155555555555563,0.781,0.5,1
3,13,P,X,cross_P,-0.0061666666666666675,0.781,0.5,1
3,14,CX,E,,0.002183333333333339,0.781,0.5,1
3,15,H,passive,,,0.781,0.5,1
3,16,P,M,local_P,0.022872222222222224,0.781,0.5,1
3,17,H,passive,,,0.781,0.5,1
3,18,P,M,local_P,0.013627777777777773,0.781,0.5,1
3,19,CX,E,,0.01373888888888889,0.781,0.5,1
3,20,P,X,cross_P,0.005833333333333339,0.781,0.5,1
3,21,CX,E,,0.0,0.781,0.5,1
